time,rip_strength,scale_factor
1.910000,0.712013,278657942221384416.000000
1.920000,0.677287,280960689114460672.000000
1.930000,0.644256,283224910010469504.000000
1.940000,0.612835,285450802734160640.000000
1.950000,0.582947,287638587852634080.000000
1.960000,0.554516,289788507333791232.000000
1.970000,0.527472,291900823242838208.000000
1.980000,0.501747,293975816477393664.000000
1.990000,0.477276,296013785541594688.000000
2.000000,0.453999,298015045359449152.000000
2.010000,0.431857,299979926127546816.000000
2.020000,0.410796,301908772207119808.000000
2.030000,0.390761,303801941055328448.000000
2.040000,0.371703,305659802195546752.000000
2.050000,0.353575,307482736226328384.000000
2.060000,0.336331,309271133868649024.000000
2.070000,0.319928,311025395050946496.000000
2.080000,0.304325,312745928031411328.000000
2.090000,0.289483,314433148556921408.000000
2.100000,0.275364,316087479057960384.000000
2.110000,0.261935,317709347878814272.000000
2.120000,0.249160,319299188542299904.000000
2.130000,0.237008,320857439048245248.000000
2.140000,0.225449,322384541204912320.000000
2.150000,0.214454,323880939992529600.000000
2.160000,0.203995,325347082958082496.000000
2.170000,0.194046,326783419640494144.000000
2.180000,0.184582,328190401025318784.000000
2.190000,0.175580,329568479028062592.000000
2.200000,0.167017,330918106005242368.000000
2.210000,0.158871,332239734292291328.000000
2.220000,0.151123,333533815767424128.000000
2.230000,0.143753,334800801440575296.000000
2.240000,0.136742,336041141066534336.000000
2.250000,0.130073,337255282781406656.000000
2.260000,0.123729,338443672761541824.000000
2.270000,0.117695,339606754904080704.000000
2.280000,0.111955,340744970528288448.000000
2.290000,0.106495,341858758096852160.000000
2.300000,0.101301,342948552956340032.000000
2.310000,0.096360,344014787096034624.000000
2.320000,0.091661,345057888924368384.000000
2.330000,0.087191,346078283062211392.000000
2.340000,0.082938,347076390152275840.000000
2.350000,0.078893,348052626683923264.000000
2.360000,0.075046,349007404832678720.000000
2.370000,0.071386,349941132313776704.000000
2.380000,0.067904,350854212249081856.000000
2.390000,0.064592,351747043046748800.000000
2.400000,0.061442,352620018293004032.000000
2.410000,0.058446,353473526655454080.000000
2.420000,0.055595,354307951797341632.000000
2.430000,0.052884,355123672302193984.000000
2.440000,0.050305,355921061608323840.000000
2.450000,0.047851,356700487952665216.000000
2.460000,0.045517,357462314323442880.000000
