time_myr,rip_field
0,0.000000000000e0
100,6.010889968719e-20
200,1.099305835637e-19
300,1.207072798642e-19
400,2.810985787399e-19
500,4.687475309934e-19
600,6.850239034347e-19
700,9.467152781127e-19
800,1.310545745779e-18
900,1.710357500540e-18
1000,2.222628417119e-18
1100,2.741539148202e-18
1200,3.221483957543e-18
1300,3.813214184143e-18
1400,4.544283463307e-18
1500,5.357742585188e-18
1600,6.696883128653e-18
1700,8.147699830188e-18
1800,9.502553920607e-18
1900,1.079087601397e-17
2000,1.204465056210e-17
2100,1.346060475347e-17
2200,1.519986579789e-17
2300,1.725758049226e-17
2400,1.945062720673e-17
2500,2.123632691691e-17
2600,2.329648673343e-17
2700,2.572756384152e-17
2800,2.781811054456e-17
2900,3.005128904012e-17
3000,3.275941194244e-17
3100,3.499925002261e-17
3200,3.774468327330e-17
3300,3.997764971502e-17
3400,4.248814586998e-17
3500,4.512761796137e-17
3600,4.793663557262e-17
3700,5.024335016758e-17
3800,5.314396819498e-17
3900,5.565984190963e-17
4000,5.816732981916e-17
4100,6.086064094485e-17
4200,6.371341750318e-17
4300,6.652850463619e-17
4400,6.917697759029e-17
4500,7.196747495453e-17
4600,7.460226591401e-17
4700,7.736162682633e-17
4800,8.005145228619e-17
4900,8.198941252394e-17
5000,8.426872162908e-17
5100,8.671402132957e-17
5200,8.861123395606e-17
5300,9.056122141158e-17
5400,9.222158611521e-17
5500,9.416026908178e-17
5600,9.581543039298e-17
5700,9.731514664431e-17
5800,9.890717991354e-17
5900,1.004503850340e-16
6000,1.016475902773e-16
6100,1.026071397665e-16
6200,1.037664384026e-16
6300,1.050481255774e-16
6400,1.057162939284e-16
6500,1.064597173939e-16
6600,1.071085495806e-16
6700,1.076521182560e-16
6800,1.080593264934e-16
6900,1.087365231757e-16
7000,1.088803674764e-16
7100,1.093546788865e-16
7200,1.099554635107e-16
7300,1.102795558337e-16
7400,1.111859897318e-16
7500,1.119376651398e-16
7600,1.120170312280e-16
7700,1.117004438702e-16
7800,1.116322449547e-16
7900,1.119082419339e-16
8000,1.120986557589e-16
8100,1.124200737795e-16
8200,1.131155947908e-16
8300,1.129426200644e-16
8400,1.127389572502e-16
8500,1.124877610633e-16
8600,1.123960885713e-16
8700,1.122470124280e-16
8800,1.120540372991e-16
8900,1.120110958004e-16
9000,1.121354439082e-16
9100,1.122063449814e-16
9200,1.123903414125e-16
9300,1.124151283120e-16
9400,1.123192598112e-16
9500,1.123760350078e-16
9600,1.119148163663e-16
9700,1.125501394844e-16
9800,1.127677111618e-16
9900,1.125440498476e-16
10000,1.120644888487e-16
10100,1.123113431861e-16
10200,1.121909583709e-16
10300,1.127587100628e-16
10400,1.124194569515e-16
10500,1.123214417654e-16
10600,1.131052162731e-16
10700,1.125979795182e-16
10800,1.126484601287e-16
10900,1.125275325391e-16
11000,1.120162779540e-16
11100,1.118267519852e-16
11200,1.120632472559e-16
11300,1.120146544542e-16
11400,1.116485557652e-16
11500,1.116895256777e-16
11600,1.124971930644e-16
11700,1.125133076867e-16
11800,1.121411667155e-16
11900,1.130816590585e-16
12000,1.126651164848e-16
12100,1.130683931873e-16
12200,1.129403049306e-16
12300,1.128723624257e-16
12400,1.123346501335e-16
12500,1.124696885563e-16
12600,1.127102786991e-16
12700,1.128612039336e-16
12800,1.130784798120e-16
12900,1.120560859855e-16
13000,1.119371907172e-16
13100,1.123665813533e-16
13200,1.133931530711e-16
13300,1.131604393830e-16
13400,1.127093821542e-16
13500,1.121345017858e-16
13600,1.119431251309e-16
13700,1.120414397159e-16
13800,1.123017504373e-16
