time_myr,rip_field
0,0.000000000000e0
100,1.560025183535e-20
200,5.521725052324e-20
300,1.018067219993e-19
400,1.973052907381e-19
500,3.841901981748e-19
600,5.609291086932e-19
700,9.133753251841e-19
800,1.340288052143e-18
900,1.736381594478e-18
1000,2.187324378867e-18
1100,2.815213931274e-18
1200,3.539125619452e-18
1300,4.163185016559e-18
1400,5.006557083985e-18
1500,5.916101160979e-18
1600,6.966080140652e-18
1700,8.101286032462e-18
1800,9.271740059840e-18
1900,1.048714404064e-17
2000,1.178462466476e-17
2100,1.339638522254e-17
2200,1.485594130962e-17
2300,1.648113114586e-17
2400,1.866206294621e-17
2500,2.065516678658e-17
2600,2.280888078785e-17
2700,2.490246662052e-17
2800,2.728893848397e-17
2900,2.963939535275e-17
3000,3.197098716909e-17
3100,3.416232188759e-17
3200,3.688096800048e-17
3300,3.942056716777e-17
3400,4.213330465721e-17
3500,4.444537311866e-17
3600,4.701965915657e-17
3700,4.979717682094e-17
3800,5.213408827325e-17
3900,5.482515304632e-17
4000,5.730238025275e-17
4100,6.040602990888e-17
4200,6.312668712705e-17
4300,6.554513452968e-17
4400,6.789388334985e-17
4500,7.061653070279e-17
4600,7.274892717782e-17
4700,7.536592560005e-17
4800,7.786339794397e-17
4900,8.041660561948e-17
5000,8.278566708829e-17
5100,8.499454442183e-17
5200,8.743893483393e-17
5300,8.904200498732e-17
5400,9.102614452339e-17
5500,9.282369322658e-17
5600,9.423421300474e-17
5700,9.601884841907e-17
5800,9.826711282539e-17
5900,9.964225772418e-17
6000,1.009550216197e-16
6100,1.021949013102e-16
6200,1.032807560682e-16
6300,1.039957295236e-16
6400,1.051166040953e-16
6500,1.058124544781e-16
6600,1.069465537006e-16
6700,1.071639439921e-16
6800,1.075844807822e-16
6900,1.081719468632e-16
7000,1.090228221913e-16
7100,1.096410397809e-16
7200,1.101927173808e-16
7300,1.104214927826e-16
7400,1.109411804614e-16
7500,1.108430674949e-16
7600,1.114424310229e-16
7700,1.119412898474e-16
7800,1.117647313085e-16
7900,1.115836894515e-16
8000,1.123103962409e-16
8100,1.118336071829e-16
8200,1.122766321086e-16
8300,1.124079529253e-16
8400,1.126284003898e-16
8500,1.125973931602e-16
8600,1.128134255848e-16
8700,1.126643794091e-16
8800,1.129367552881e-16
8900,1.135452835667e-16
9000,1.131387582486e-16
9100,1.124391970004e-16
9200,1.129648884528e-16
9300,1.125804618282e-16
9400,1.131939391557e-16
9500,1.133446629379e-16
9600,1.132675780211e-16
9700,1.128418646698e-16
9800,1.127565420130e-16
9900,1.123741243675e-16
10000,1.123712034462e-16
10100,1.125346214353e-16
10200,1.126011295950e-16
10300,1.125795671703e-16
10400,1.120706904360e-16
10500,1.131864575145e-16
10600,1.126379795870e-16
10700,1.128801312669e-16
10800,1.125920606046e-16
10900,1.127440266180e-16
11000,1.127474946567e-16
11100,1.125328807225e-16
11200,1.122550180070e-16
11300,1.125869563823e-16
11400,1.123762003592e-16
11500,1.124689934562e-16
11600,1.126523880573e-16
11700,1.124122655402e-16
11800,1.126540742510e-16
11900,1.125780615771e-16
12000,1.128265890618e-16
12100,1.122009279918e-16
12200,1.123795085613e-16
12300,1.121798613988e-16
12400,1.122254035697e-16
12500,1.128322486601e-16
12600,1.123351582001e-16
12700,1.131362683210e-16
12800,1.131484753892e-16
12900,1.127885402018e-16
13000,1.128194915854e-16
13100,1.132866355908e-16
13200,1.132711487138e-16
13300,1.127612573894e-16
13400,1.123758453314e-16
13500,1.119464119458e-16
13600,1.118718654308e-16
13700,1.113649068304e-16
13800,1.114751660251e-16
