time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,3.611960471976e-20,1.000000
200,7.087715031267e-20,1.000000
300,1.590411202342e-19,1.000000
400,2.066479425654e-19,1.000000
500,3.032913764529e-19,1.000000
600,4.566456839211e-19,1.000000
700,6.155248571637e-19,1.000000
800,9.279379893274e-19,1.000000
900,1.352014481936e-18,1.000000
1000,1.811742245221e-18,1.000000
1100,2.294691952226e-18,1.000000
1200,3.176174405319e-18,1.000000
1300,3.895329433221e-18,1.000000
1400,4.660285943121e-18,1.000000
1500,5.774315454148e-18,1.000000
1600,6.673366985701e-18,1.000000
1700,7.966252683669e-18,1.000000
1800,9.516728336269e-18,1.000000
1900,1.113707128590e-17,1.000000
2000,1.282128958805e-17,1.000000
2100,1.488309432641e-17,1.000000
2200,1.687886443491e-17,1.000000
2300,1.904705319068e-17,1.000000
2400,2.135642739839e-17,1.000000
2500,2.403770792419e-17,1.000000
2600,2.686410159077e-17,1.000000
2700,2.992336772595e-17,1.000000
2800,3.251279179371e-17,1.000000
2900,3.552833273264e-17,1.000000
3000,3.902588226842e-17,1.000000
3100,4.246043227008e-17,1.000000
3200,4.619389269456e-17,1.000000
3300,5.036402933280e-17,1.000000
3400,5.460576075404e-17,1.000000
3500,5.846475369232e-17,1.000000
3600,6.303944622587e-17,1.000000
3700,6.802209317098e-17,1.000000
3800,7.266327977198e-17,1.000000
3900,7.831146069779e-17,1.000000
4000,8.452549145107e-17,1.000000
4100,9.001801053623e-17,1.000000
4200,9.596004371727e-17,1.000000
4300,1.022599211236e-16,1.000000
4400,1.094086534977e-16,1.000000
4500,1.166809743720e-16,1.000000
4600,1.240100156699e-16,1.000000
4700,1.315438197529e-16,1.000000
4800,1.387877268985e-16,1.000000
4900,1.467502347025e-16,1.000000
5000,1.551905377209e-16,1.000000
5100,1.640154975612e-16,1.000000
5200,1.733347362212e-16,1.000000
5300,1.830028360075e-16,1.000000
5400,1.927701260125e-16,1.000000
5500,2.024992204953e-16,1.000000
5600,2.120461910257e-16,1.000000
5700,2.221437427899e-16,1.000000
5800,2.333244575122e-16,1.000000
5900,2.449626019923e-16,1.000000
6000,2.568642154495e-16,1.000000
6100,2.688597820039e-16,1.000000
6200,2.811922898606e-16,1.000000
6300,2.935772430731e-16,1.000000
6400,3.055796388941e-16,1.000000
6500,3.194080623758e-16,1.000000
6600,3.330069987350e-16,1.000000
6700,3.479976021533e-16,1.000000
6800,3.626411711847e-16,1.000000
6900,3.778148750161e-16,1.000000
7000,3.930792456298e-16,1.000000
7100,4.088319557492e-16,1.000000
7200,4.254324007221e-16,1.000000
7300,4.418307425857e-16,1.000000
7400,4.588064798796e-16,1.000000
7500,4.763891693384e-16,1.000000
7600,4.947038779145e-16,1.000000
7700,5.129222227622e-16,1.000000
7800,5.316461774588e-16,1.000000
7900,5.511106368245e-16,1.000000
8000,5.700474157058e-16,1.000000
8100,5.891314261929e-16,1.000000
8200,6.092244578135e-16,1.000000
8300,6.304404482689e-16,1.000000
8400,6.517123442777e-16,1.000000
8500,6.733862278707e-16,1.000000
8600,6.951821295884e-16,1.000000
8700,7.178169767412e-16,1.000000
8800,7.413130024773e-16,1.000000
8900,7.652728965222e-16,1.000000
9000,7.904168343387e-16,1.000000
9100,8.143612917943e-16,1.000000
9200,8.395543807775e-16,1.000000
9300,8.641459468837e-16,1.000000
9400,8.898473184315e-16,1.000000
9500,9.174986782701e-16,1.000000
9600,9.443166147642e-16,1.000000
9700,9.712058494965e-16,1.000000
9800,9.989802851536e-16,1.000000
9900,1.027569453160e-15,1.000000
10000,1.056242166450e-15,1.000000
10100,1.086189787524e-15,1.000000
10200,1.115576530749e-15,1.000000
10300,1.146704010113e-15,1.000000
10400,1.178080863042e-15,1.000000
10500,1.208400267629e-15,1.000000
10600,1.237998956777e-15,1.000000
10700,1.271044126230e-15,1.000000
10800,1.304206534688e-15,1.000000
10900,1.338200462474e-15,1.000000
11000,1.371272714601e-15,1.000000
11100,1.405506961504e-15,1.000000
11200,1.441698880017e-15,1.000000
11300,1.475820756778e-15,1.000000
11400,1.513039002599e-15,1.000000
11500,1.550414684324e-15,1.000000
11600,1.587310669858e-15,1.000000
11700,1.625585982195e-15,1.000000
11800,1.662728664307e-15,1.000000
11900,1.700890254784e-15,1.000000
12000,1.741180003443e-15,1.000000
12100,1.782304981279e-15,1.000000
12200,1.822421755479e-15,1.000000
12300,1.864520817282e-15,1.000000
12400,1.906782955905e-15,1.000000
12500,1.948051011657e-15,1.000000
12600,1.991111846446e-15,1.000000
12700,2.034416136466e-15,1.000000
12800,2.078583479559e-15,1.000000
12900,2.123719247280e-15,1.000000
13000,2.169048961679e-15,1.000000
13100,2.215300482879e-15,1.000000
13200,2.261957310524e-15,1.000000
13300,2.309924644549e-15,1.000000
13400,2.357367966683e-15,1.000000
13500,2.405726577506e-15,1.000000
13600,2.454363332992e-15,1.000000
13700,2.503611049323e-15,1.000000
13800,2.552508580272e-15,1.000000
