time_myr,rip_mean,rip_std
4900,1.4625518096756602e-16,1.5348841319429457e-18
5000,1.5461953989239002e-16,1.47694006629621e-18
5100,1.63300556130924e-16,1.5829652490625825e-18
5200,1.7237290963785607e-16,1.6785917218480147e-18
5300,1.8180465177275403e-16,1.6613087369527754e-18
5400,1.91429942827044e-16,1.629440822860311e-18
5500,2.0137527267206197e-16,1.7195149712009634e-18
5600,2.11630396533448e-16,1.7397053636688308e-18
5700,2.222503785999421e-16,1.7407217484355614e-18
5800,2.3324531317889e-16,1.6857456953831037e-18
5900,2.44598131205398e-16,1.589818290226571e-18
6000,2.5633559589751204e-16,1.582278093651966e-18
6100,2.6829491243593603e-16,1.6722038941257388e-18
6200,2.807505936686621e-16,1.771138344840622e-18
6300,2.9356308360089604e-16,1.8327482749524364e-18
6400,3.0658989436225e-16,1.83066832869372e-18
6500,3.199719157205299e-16,1.9305339324703898e-18
6600,3.33664453365618e-16,2.0110750062367007e-18
6700,3.47971859790346e-16,2.0588869233789907e-18
6800,3.625819953712521e-16,2.043220300327127e-18
6900,3.7752557151089e-16,1.981516764884657e-18
7000,3.92940654253772e-16,1.9156726747729787e-18
7100,4.0864882494233403e-16,1.956278105461991e-18
7200,4.2469065247394194e-16,2.0182298277471228e-18
7300,4.41251304763474e-16,2.0902688289932626e-18
7400,4.580742617664319e-16,2.1161102519094866e-18
7500,4.75376106122914e-16,2.00496089892598e-18
7600,4.93216465831726e-16,2.1222644020488627e-18
7700,5.1122606989512e-16,2.28531818850974e-18
7800,5.298554562130222e-16,2.291369141565223e-18
7900,5.48840122164596e-16,2.3871768016077084e-18
8000,5.684184900956161e-16,2.5120477415188485e-18
8100,5.88327878484508e-16,2.4938621860486802e-18
8200,6.086800098987241e-16,2.598933097854299e-18
8300,6.29632929606858e-16,2.7439120243626953e-18
8400,6.508102782122579e-16,2.8567579755855005e-18
8500,6.725334208014199e-16,2.9957929656422794e-18
8600,6.94593583095606e-16,2.970206579087903e-18
8700,7.170141101223358e-16,3.105009438251912e-18
8800,7.399882896190399e-16,3.245374017645212e-18
8900,7.633442736400182e-16,3.2051162815154035e-18
9000,7.871818333501858e-16,3.4085812754740836e-18
9100,8.114961430038681e-16,3.481076034674224e-18
9200,8.363162149448397e-16,3.4925717976025885e-18
9300,8.616867773641984e-16,3.582958425482969e-18
9400,8.875371810228484e-16,3.728092685600488e-18
9500,9.138389358392098e-16,3.733592541735917e-18
9600,9.405662372758962e-16,3.670996184802124e-18
9700,9.67669801337914e-16,3.790712190516557e-18
9800,9.95454773207522e-16,3.805033786941353e-18
9900,1.0236695143980599e-15,3.920345622556565e-18
10000,1.0524710204416404e-15,3.819124116429375e-18
10100,1.0816738978178602e-15,3.676465119393933e-18
10200,1.11157737716774e-15,3.5932869506739745e-18
10300,1.14180323844402e-15,3.645830472422783e-18
10400,1.1725267266786003e-15,3.785954976185331e-18
10500,1.20385190541954e-15,3.8218452276047595e-18
10600,1.2356834569606798e-15,3.991885696531828e-18
10700,1.2681007522626802e-15,4.103133913018028e-18
10800,1.30102525862442e-15,4.1419420703902656e-18
10900,1.3345782287892407e-15,4.138696108259597e-18
