time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,3.843199471073e-20,1.000000
200,8.596099510549e-20,1.000000
300,1.137204404960e-19,1.000000
400,1.998066152739e-19,1.000000
500,3.341790700862e-19,1.000000
600,6.174804109391e-19,1.000000
700,7.944515563363e-19,1.000000
800,1.025166467262e-18,1.000000
900,1.372016301683e-18,1.000000
1000,1.623437105886e-18,1.000000
1100,2.342049207968e-18,1.000000
1200,3.025211846181e-18,1.000000
1300,3.713518279606e-18,1.000000
1400,4.507694702487e-18,1.000000
1500,5.592299801633e-18,1.000000
1600,6.901202140938e-18,1.000000
1700,8.236875749953e-18,1.000000
1800,9.634126329200e-18,1.000000
1900,1.097673333688e-17,1.000000
2000,1.261649399755e-17,1.000000
2100,1.435715150152e-17,1.000000
2200,1.608970991094e-17,1.000000
2300,1.841064734740e-17,1.000000
2400,2.049570668686e-17,1.000000
2500,2.311677994449e-17,1.000000
2600,2.572074637313e-17,1.000000
2700,2.850789676401e-17,1.000000
2800,3.169268488877e-17,1.000000
2900,3.479937529053e-17,1.000000
3000,3.799442076971e-17,1.000000
3100,4.131584080845e-17,1.000000
3200,4.533487598500e-17,1.000000
3300,4.952364540265e-17,1.000000
3400,5.395881731554e-17,1.000000
3500,5.856135124885e-17,1.000000
3600,6.305571143815e-17,1.000000
3700,6.783786034005e-17,1.000000
3800,7.289738929423e-17,1.000000
3900,7.893337683142e-17,1.000000
4000,8.474262149313e-17,1.000000
4100,9.047618219128e-17,1.000000
4200,9.674461919427e-17,1.000000
4300,1.032544346585e-16,1.000000
4400,1.105603188672e-16,1.000000
4500,1.178414893999e-16,1.000000
4600,1.252343122690e-16,1.000000
4700,1.332013664883e-16,1.000000
4800,1.410684419851e-16,1.000000
4900,1.492065326304e-16,1.000000
5000,1.576860094433e-16,1.000000
5100,1.662818135616e-16,1.000000
5200,1.755880649426e-16,1.000000
5300,1.846514322715e-16,1.000000
5400,1.943039751782e-16,1.000000
5500,2.047134066250e-16,1.000000
5600,2.147428213796e-16,1.000000
5700,2.251218798751e-16,1.000000
5800,2.366291301624e-16,1.000000
5900,2.474942680379e-16,1.000000
6000,2.587165506369e-16,1.000000
6100,2.698507636461e-16,1.000000
6200,2.823847458539e-16,1.000000
6300,2.948491418080e-16,1.000000
6400,3.080269099536e-16,1.000000
6500,3.213517503630e-16,1.000000
6600,3.357133186645e-16,1.000000
6700,3.495448002086e-16,1.000000
6800,3.643204379869e-16,1.000000
6900,3.799070101720e-16,1.000000
7000,3.955581339727e-16,1.000000
7100,4.110785861018e-16,1.000000
7200,4.279054776896e-16,1.000000
7300,4.450624251413e-16,1.000000
7400,4.609970764827e-16,1.000000
7500,4.787331106831e-16,1.000000
7600,4.967339067504e-16,1.000000
7700,5.144631171878e-16,1.000000
7800,5.344513989435e-16,1.000000
7900,5.532345732900e-16,1.000000
8000,5.730681343151e-16,1.000000
8100,5.932458551378e-16,1.000000
8200,6.131715490051e-16,1.000000
8300,6.339398067636e-16,1.000000
8400,6.559710503589e-16,1.000000
8500,6.781370332980e-16,1.000000
8600,6.992921536426e-16,1.000000
8700,7.222411503778e-16,1.000000
8800,7.465171088062e-16,1.000000
8900,7.698998546906e-16,1.000000
9000,7.927638860726e-16,1.000000
9100,8.169355049068e-16,1.000000
9200,8.409407688129e-16,1.000000
9300,8.657497680094e-16,1.000000
9400,8.919771849594e-16,1.000000
9500,9.181425311601e-16,1.000000
9600,9.449360100343e-16,1.000000
9700,9.712762415115e-16,1.000000
9800,9.994738358164e-16,1.000000
9900,1.028226802699e-15,1.000000
10000,1.057418642340e-15,1.000000
10100,1.086463303248e-15,1.000000
10200,1.115659347042e-15,1.000000
10300,1.145661706078e-15,1.000000
10400,1.175419343698e-15,1.000000
10500,1.205904263812e-15,1.000000
10600,1.237521328434e-15,1.000000
10700,1.269044453368e-15,1.000000
10800,1.301890747664e-15,1.000000
10900,1.334332606569e-15,1.000000
11000,1.368008294499e-15,1.000000
11100,1.403270217696e-15,1.000000
11200,1.439438378183e-15,1.000000
11300,1.473391490811e-15,1.000000
11400,1.509095479533e-15,1.000000
11500,1.545540797514e-15,1.000000
11600,1.582597363421e-15,1.000000
11700,1.620817712917e-15,1.000000
11800,1.659289385895e-15,1.000000
11900,1.699496920498e-15,1.000000
12000,1.737314407803e-15,1.000000
12100,1.777021251805e-15,1.000000
12200,1.817965759690e-15,1.000000
12300,1.859618306730e-15,1.000000
12400,1.899507962597e-15,1.000000
12500,1.941053245143e-15,1.000000
12600,1.984097607798e-15,1.000000
12700,2.027039384528e-15,1.000000
12800,2.070624790865e-15,1.000000
12900,2.115588290172e-15,1.000000
13000,2.159351417791e-15,1.000000
13100,2.203569031949e-15,1.000000
13200,2.248736897829e-15,1.000000
13300,2.295700422977e-15,1.000000
13400,2.344108981878e-15,1.000000
13500,2.390514570964e-15,1.000000
13600,2.439362730161e-15,1.000000
13700,2.487659656254e-15,1.000000
13800,2.538382368736e-15,1.000000
