time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,8.196274271324e-20,1.000000
300,1.309109418413e-19,1.000000
400,2.391880700094e-19,1.000000
500,3.250608374778e-19,1.000000
600,5.082615750677e-19,1.000000
700,7.768159864988e-19,1.000000
800,1.092250791173e-18,1.000000
900,1.562689679341e-18,1.000000
1000,2.021588427772e-18,1.000000
1100,2.524913886917e-18,1.000000
1200,3.110731412604e-18,1.000000
1300,3.924393616214e-18,1.000000
1400,4.728349936402e-18,1.000000
1500,5.691093060129e-18,1.000000
1600,6.649472426586e-18,1.000000
1700,7.942615838889e-18,1.000000
1800,9.599286427900e-18,1.000000
1900,1.107073789116e-17,1.000000
2000,1.263152502634e-17,1.000000
2100,1.451602127854e-17,1.000000
2200,1.660825197591e-17,1.000000
2300,1.867059729068e-17,1.000000
2400,2.086898254809e-17,1.000000
2500,2.302555513823e-17,1.000000
2600,2.559726030789e-17,1.000000
2700,2.784719668298e-17,1.000000
2800,3.089668340139e-17,1.000000
2900,3.366185562295e-17,1.000000
3000,3.724638106186e-17,1.000000
3100,4.030943016406e-17,1.000000
3200,4.398208891860e-17,1.000000
3300,4.790966527800e-17,1.000000
3400,5.197945617888e-17,1.000000
3500,5.622956639418e-17,1.000000
3600,6.106556996776e-17,1.000000
3700,6.608050537148e-17,1.000000
3800,7.066968482625e-17,1.000000
3900,7.613917589899e-17,1.000000
4000,8.173257120910e-17,1.000000
4100,8.737857016546e-17,1.000000
4200,9.348192052474e-17,1.000000
4300,9.929979463483e-17,1.000000
4400,1.060670721537e-16,1.000000
4500,1.129688965538e-16,1.000000
4600,1.207314934209e-16,1.000000
4700,1.279157724909e-16,1.000000
4800,1.357786658784e-16,1.000000
4900,1.440415590358e-16,1.000000
5000,1.529737160330e-16,1.000000
5100,1.617628314171e-16,1.000000
5200,1.707761042456e-16,1.000000
5300,1.794198840478e-16,1.000000
5400,1.890041077571e-16,1.000000
5500,1.988461608497e-16,1.000000
5600,2.097663449069e-16,1.000000
5700,2.204195257014e-16,1.000000
5800,2.309796268358e-16,1.000000
5900,2.426367323457e-16,1.000000
6000,2.538872861147e-16,1.000000
6100,2.659372503143e-16,1.000000
6200,2.785100735645e-16,1.000000
6300,2.915279444445e-16,1.000000
6400,3.057778391696e-16,1.000000
6500,3.198413382452e-16,1.000000
6600,3.335307720927e-16,1.000000
6700,3.476350506097e-16,1.000000
6800,3.620642226205e-16,1.000000
6900,3.758053237470e-16,1.000000
7000,3.919511458830e-16,1.000000
7100,4.083675309166e-16,1.000000
7200,4.236448305652e-16,1.000000
7300,4.410271234804e-16,1.000000
7400,4.591568671382e-16,1.000000
7500,4.762173000468e-16,1.000000
7600,4.944250568981e-16,1.000000
7700,5.124873421438e-16,1.000000
7800,5.303680376793e-16,1.000000
7900,5.489134225560e-16,1.000000
8000,5.684654395240e-16,1.000000
8100,5.879609173117e-16,1.000000
8200,6.080133875765e-16,1.000000
8300,6.286754039995e-16,1.000000
8400,6.495577725391e-16,1.000000
8500,6.711873062432e-16,1.000000
8600,6.932704958106e-16,1.000000
8700,7.155060717671e-16,1.000000
8800,7.388074627426e-16,1.000000
8900,7.630578013017e-16,1.000000
9000,7.873046514401e-16,1.000000
9100,8.101934530873e-16,1.000000
9200,8.344283704729e-16,1.000000
9300,8.593248057589e-16,1.000000
9400,8.846424852506e-16,1.000000
9500,9.102333675128e-16,1.000000
9600,9.369446240825e-16,1.000000
9700,9.643601354600e-16,1.000000
9800,9.913983574921e-16,1.000000
9900,1.019452964258e-15,1.000000
10000,1.048569033066e-15,1.000000
10100,1.077804672941e-15,1.000000
10200,1.108118274875e-15,1.000000
10300,1.137996909892e-15,1.000000
10400,1.167594515255e-15,1.000000
10500,1.199553160077e-15,1.000000
10600,1.231483982310e-15,1.000000
10700,1.264751663749e-15,1.000000
10800,1.297508264855e-15,1.000000
10900,1.331886525819e-15,1.000000
11000,1.366268186403e-15,1.000000
11100,1.400342525852e-15,1.000000
11200,1.434987057159e-15,1.000000
11300,1.470878749526e-15,1.000000
11400,1.506418364692e-15,1.000000
11500,1.544241445461e-15,1.000000
11600,1.580208206427e-15,1.000000
11700,1.618927746140e-15,1.000000
11800,1.656878148252e-15,1.000000
11900,1.695116092211e-15,1.000000
12000,1.735389482151e-15,1.000000
12100,1.775808120657e-15,1.000000
12200,1.815137145115e-15,1.000000
12300,1.856757324931e-15,1.000000
12400,1.898454867843e-15,1.000000
12500,1.941146793715e-15,1.000000
12600,1.983472248630e-15,1.000000
12700,2.026452967572e-15,1.000000
12800,2.068484462886e-15,1.000000
12900,2.113374962404e-15,1.000000
13000,2.160167527990e-15,1.000000
13100,2.206209654050e-15,1.000000
13200,2.252461750724e-15,1.000000
13300,2.298823316196e-15,1.000000
13400,2.346642582549e-15,1.000000
13500,2.396379213584e-15,1.000000
13600,2.444084533559e-15,1.000000
13700,2.494659667134e-15,1.000000
13800,2.544603937668e-15,1.000000
