time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,4.989711000864e-20,1.000000
300,1.432259820869e-19,1.000000
400,1.963487311171e-19,1.000000
500,3.228178590551e-19,1.000000
600,5.163794620274e-19,1.000000
700,7.542279364938e-19,1.000000
800,9.506935917209e-19,1.000000
900,1.278827633564e-18,1.000000
1000,1.690697947418e-18,1.000000
1100,2.259419542548e-18,1.000000
1200,2.898118029099e-18,1.000000
1300,3.716714019888e-18,1.000000
1400,4.628430152247e-18,1.000000
1500,5.648453863658e-18,1.000000
1600,6.679119303724e-18,1.000000
1700,7.964168188762e-18,1.000000
1800,9.350974092320e-18,1.000000
1900,1.092947103389e-17,1.000000
2000,1.233210016815e-17,1.000000
2100,1.412883237256e-17,1.000000
2200,1.586655270150e-17,1.000000
2300,1.815057573124e-17,1.000000
2400,2.101246982474e-17,1.000000
2500,2.355306105076e-17,1.000000
2600,2.597684091677e-17,1.000000
2700,2.852984602509e-17,1.000000
2800,3.134846895499e-17,1.000000
2900,3.419058271603e-17,1.000000
3000,3.766364020557e-17,1.000000
3100,4.093037835481e-17,1.000000
3200,4.468375575120e-17,1.000000
3300,4.850519610247e-17,1.000000
3400,5.245501020153e-17,1.000000
3500,5.657058098723e-17,1.000000
3600,6.123100667101e-17,1.000000
3700,6.637300790440e-17,1.000000
3800,7.117511777285e-17,1.000000
3900,7.627200000838e-17,1.000000
4000,8.160398877647e-17,1.000000
4100,8.776665168680e-17,1.000000
4200,9.437498744576e-17,1.000000
4300,1.004242811263e-16,1.000000
4400,1.065382999720e-16,1.000000
4500,1.131770434604e-16,1.000000
4600,1.202034119954e-16,1.000000
4700,1.279301589231e-16,1.000000
4800,1.356354390404e-16,1.000000
4900,1.436815376818e-16,1.000000
5000,1.519936371564e-16,1.000000
5100,1.606456221841e-16,1.000000
5200,1.695759069213e-16,1.000000
5300,1.791676449923e-16,1.000000
5400,1.887534034397e-16,1.000000
5500,1.984063624194e-16,1.000000
5600,2.082219013576e-16,1.000000
5700,2.184958931854e-16,1.000000
5800,2.301602481878e-16,1.000000
5900,2.412634826642e-16,1.000000
6000,2.536825822686e-16,1.000000
6100,2.649970913955e-16,1.000000
6200,2.771971176105e-16,1.000000
6300,2.896723013151e-16,1.000000
6400,3.026994267672e-16,1.000000
6500,3.159828691224e-16,1.000000
6600,3.296887194040e-16,1.000000
6700,3.442795622440e-16,1.000000
6800,3.592426298324e-16,1.000000
6900,3.746326380515e-16,1.000000
7000,3.907024553809e-16,1.000000
7100,4.067558230708e-16,1.000000
7200,4.221072681406e-16,1.000000
7300,4.380452764624e-16,1.000000
7400,4.551008497580e-16,1.000000
7500,4.720873630948e-16,1.000000
7600,4.892732722659e-16,1.000000
7700,5.081070014821e-16,1.000000
7800,5.274057718711e-16,1.000000
7900,5.465875909345e-16,1.000000
8000,5.661238411109e-16,1.000000
8100,5.861498106217e-16,1.000000
8200,6.072903809804e-16,1.000000
8300,6.279826009645e-16,1.000000
8400,6.482550408446e-16,1.000000
8500,6.708546110980e-16,1.000000
8600,6.922989813927e-16,1.000000
8700,7.154400706741e-16,1.000000
8800,7.382466934750e-16,1.000000
8900,7.622401228201e-16,1.000000
9000,7.863933678994e-16,1.000000
9100,8.109110789997e-16,1.000000
9200,8.364730599141e-16,1.000000
9300,8.609353665774e-16,1.000000
9400,8.869477578544e-16,1.000000
9500,9.123857263533e-16,1.000000
9600,9.401452830970e-16,1.000000
9700,9.679945648653e-16,1.000000
9800,9.957586058516e-16,1.000000
9900,1.023265950160e-15,1.000000
10000,1.052309513830e-15,1.000000
10100,1.080789220414e-15,1.000000
10200,1.111918795821e-15,1.000000
10300,1.142447024659e-15,1.000000
10400,1.174008951365e-15,1.000000
10500,1.204981032716e-15,1.000000
10600,1.238426652925e-15,1.000000
10700,1.270779432212e-15,1.000000
10800,1.303153981163e-15,1.000000
10900,1.337306184625e-15,1.000000
11000,1.371291513112e-15,1.000000
11100,1.407505340786e-15,1.000000
11200,1.442899021252e-15,1.000000
11300,1.477924290044e-15,1.000000
11400,1.515122387004e-15,1.000000
11500,1.550594834738e-15,1.000000
11600,1.587183363696e-15,1.000000
11700,1.624920655962e-15,1.000000
11800,1.663727326670e-15,1.000000
11900,1.703967548195e-15,1.000000
12000,1.742252722834e-15,1.000000
12100,1.781604911780e-15,1.000000
12200,1.823262511120e-15,1.000000
12300,1.864546589551e-15,1.000000
12400,1.906320955502e-15,1.000000
12500,1.947737512475e-15,1.000000
12600,1.990487573843e-15,1.000000
12700,2.033604588886e-15,1.000000
12800,2.076969701134e-15,1.000000
12900,2.121704589667e-15,1.000000
13000,2.165645054548e-15,1.000000
13100,2.212395992413e-15,1.000000
13200,2.259559256201e-15,1.000000
13300,2.305666827096e-15,1.000000
13400,2.352985822741e-15,1.000000
13500,2.401874382136e-15,1.000000
13600,2.449770301607e-15,1.000000
13700,2.499830793319e-15,1.000000
13800,2.549608341499e-15,1.000000
