time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,2.749086521662e-20,1.000000
200,5.947510482254e-20,1.000000
300,9.834495387781e-20,1.000000
400,2.013568804819e-19,1.000000
500,2.904846029673e-19,1.000000
600,5.850856691876e-19,1.000000
700,9.726024672477e-19,1.000000
800,1.396769974429e-18,1.000000
900,1.758641353665e-18,1.000000
1000,2.335077681764e-18,1.000000
1100,3.036647620000e-18,1.000000
1200,3.820568631429e-18,1.000000
1300,4.418840390750e-18,1.000000
1400,5.275992918853e-18,1.000000
1500,6.163514887035e-18,1.000000
1600,7.043874242427e-18,1.000000
1700,8.179288754736e-18,1.000000
1800,9.349753386349e-18,1.000000
1900,1.069237460750e-17,1.000000
2000,1.249614347584e-17,1.000000
2100,1.433725455406e-17,1.000000
2200,1.609919797341e-17,1.000000
2300,1.841807675949e-17,1.000000
2400,2.056397817242e-17,1.000000
2500,2.305880380714e-17,1.000000
2600,2.535128789386e-17,1.000000
2700,2.802822194432e-17,1.000000
2800,3.087662772332e-17,1.000000
2900,3.397712065902e-17,1.000000
3000,3.714438062263e-17,1.000000
3100,4.087483348314e-17,1.000000
3200,4.458945848614e-17,1.000000
3300,4.883205800995e-17,1.000000
3400,5.329151693078e-17,1.000000
3500,5.796875322730e-17,1.000000
3600,6.240196936195e-17,1.000000
3700,6.731098969684e-17,1.000000
3800,7.201248894880e-17,1.000000
3900,7.728370197199e-17,1.000000
4000,8.268966250442e-17,1.000000
4100,8.963145464681e-17,1.000000
4200,9.553422744041e-17,1.000000
4300,1.020513648673e-16,1.000000
4400,1.089339906773e-16,1.000000
4500,1.161839367865e-16,1.000000
4600,1.233180462279e-16,1.000000
4700,1.308279452674e-16,1.000000
4800,1.392345437203e-16,1.000000
4900,1.474182751487e-16,1.000000
5000,1.558821979512e-16,1.000000
5100,1.653619046717e-16,1.000000
5200,1.745042703589e-16,1.000000
5300,1.843804309956e-16,1.000000
5400,1.940315878530e-16,1.000000
5500,2.047928231169e-16,1.000000
5600,2.149928074358e-16,1.000000
5700,2.252039126151e-16,1.000000
5800,2.357324360963e-16,1.000000
5900,2.471228090403e-16,1.000000
6000,2.588540390006e-16,1.000000
6100,2.722638152179e-16,1.000000
6200,2.854452814744e-16,1.000000
6300,2.974844719855e-16,1.000000
6400,3.115218544241e-16,1.000000
6500,3.243091021874e-16,1.000000
6600,3.377582549192e-16,1.000000
6700,3.513618425826e-16,1.000000
6800,3.662691534507e-16,1.000000
6900,3.812072568029e-16,1.000000
7000,3.961659844528e-16,1.000000
7100,4.114091920274e-16,1.000000
7200,4.270858333385e-16,1.000000
7300,4.433583354941e-16,1.000000
7400,4.598582041592e-16,1.000000
7500,4.780491460527e-16,1.000000
7600,4.958936925125e-16,1.000000
7700,5.152262954831e-16,1.000000
7800,5.340953787022e-16,1.000000
7900,5.527671047153e-16,1.000000
8000,5.711456045559e-16,1.000000
8100,5.902257431721e-16,1.000000
8200,6.099237977024e-16,1.000000
8300,6.328077395329e-16,1.000000
8400,6.544100524613e-16,1.000000
8500,6.764465563669e-16,1.000000
8600,6.985836576402e-16,1.000000
8700,7.198733388846e-16,1.000000
8800,7.426664858179e-16,1.000000
8900,7.655316530121e-16,1.000000
9000,7.885093619415e-16,1.000000
9100,8.117794894234e-16,1.000000
9200,8.370845290875e-16,1.000000
9300,8.630022807430e-16,1.000000
9400,8.892346202114e-16,1.000000
9500,9.150227286961e-16,1.000000
9600,9.421818194590e-16,1.000000
9700,9.686591067104e-16,1.000000
9800,9.974595661060e-16,1.000000
9900,1.025817978610e-15,1.000000
10000,1.054104096435e-15,1.000000
10100,1.084105558933e-15,1.000000
10200,1.114554983628e-15,1.000000
10300,1.145089772611e-15,1.000000
10400,1.177108651663e-15,1.000000
10500,1.209493089271e-15,1.000000
10600,1.242126526887e-15,1.000000
10700,1.274030287173e-15,1.000000
10800,1.306030689311e-15,1.000000
10900,1.339281694115e-15,1.000000
11000,1.373217362787e-15,1.000000
11100,1.407634208461e-15,1.000000
11200,1.442221209587e-15,1.000000
11300,1.477938313931e-15,1.000000
11400,1.514067423093e-15,1.000000
11500,1.549975888819e-15,1.000000
11600,1.587416098331e-15,1.000000
11700,1.625130090714e-15,1.000000
11800,1.663567401363e-15,1.000000
11900,1.703007953872e-15,1.000000
12000,1.742308894685e-15,1.000000
12100,1.782584594357e-15,1.000000
12200,1.822137248446e-15,1.000000
12300,1.862911037036e-15,1.000000
12400,1.902986919034e-15,1.000000
12500,1.946114054101e-15,1.000000
12600,1.989714285943e-15,1.000000
12700,2.031460640447e-15,1.000000
12800,2.074521955728e-15,1.000000
12900,2.117813965965e-15,1.000000
13000,2.162877192211e-15,1.000000
13100,2.208612769352e-15,1.000000
13200,2.254620913720e-15,1.000000
13300,2.301371983277e-15,1.000000
13400,2.349433769758e-15,1.000000
13500,2.396170644585e-15,1.000000
13600,2.445181129927e-15,1.000000
13700,2.494543702094e-15,1.000000
13800,2.544682332246e-15,1.000000
