time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,5.383885311357e-20,1.000000
300,1.751176151347e-19,1.000000
400,3.287552023891e-19,1.000000
500,5.534939487123e-19,1.000000
600,7.723330449054e-19,1.000000
700,9.554656427115e-19,1.000000
800,1.156744199913e-18,1.000000
900,1.612861048448e-18,1.000000
1000,2.235161364383e-18,1.000000
1100,2.795287609453e-18,1.000000
1200,3.288275837509e-18,1.000000
1300,4.091483049385e-18,1.000000
1400,4.709241471037e-18,1.000000
1500,5.621180983200e-18,1.000000
1600,6.667821404243e-18,1.000000
1700,7.994586474089e-18,1.000000
1800,9.119399947430e-18,1.000000
1900,1.071646517023e-17,1.000000
2000,1.238936674117e-17,1.000000
2100,1.423751034919e-17,1.000000
2200,1.609812086072e-17,1.000000
2300,1.856033037513e-17,1.000000
2400,2.114263922259e-17,1.000000
2500,2.348461050855e-17,1.000000
2600,2.591741159680e-17,1.000000
2700,2.882677161305e-17,1.000000
2800,3.185004428002e-17,1.000000
2900,3.455811635098e-17,1.000000
3000,3.748095005010e-17,1.000000
3100,4.092830847606e-17,1.000000
3200,4.464726834503e-17,1.000000
3300,4.863276788935e-17,1.000000
3400,5.309028846166e-17,1.000000
3500,5.761257786322e-17,1.000000
3600,6.186382626865e-17,1.000000
3700,6.696703224811e-17,1.000000
3800,7.217608496903e-17,1.000000
3900,7.762677800458e-17,1.000000
4000,8.351547063163e-17,1.000000
4100,8.937185536413e-17,1.000000
4200,9.535960126484e-17,1.000000
4300,1.017483181571e-16,1.000000
4400,1.092524878176e-16,1.000000
4500,1.158822590288e-16,1.000000
4600,1.228498013563e-16,1.000000
4700,1.302443896844e-16,1.000000
4800,1.381381250582e-16,1.000000
4900,1.461764630188e-16,1.000000
5000,1.546181503759e-16,1.000000
5100,1.634152881027e-16,1.000000
5200,1.725174798701e-16,1.000000
5300,1.815375731963e-16,1.000000
5400,1.909291545714e-16,1.000000
5500,2.001573792778e-16,1.000000
5600,2.104767928583e-16,1.000000
5700,2.207928234390e-16,1.000000
5800,2.322984900281e-16,1.000000
5900,2.434279634376e-16,1.000000
6000,2.551465012303e-16,1.000000
6100,2.670224337209e-16,1.000000
6200,2.794865687565e-16,1.000000
6300,2.922241127835e-16,1.000000
6400,3.051080788456e-16,1.000000
6500,3.187821318192e-16,1.000000
6600,3.328284142022e-16,1.000000
6700,3.482420587878e-16,1.000000
6800,3.633263801774e-16,1.000000
6900,3.787668009878e-16,1.000000
7000,3.935636694775e-16,1.000000
7100,4.093531363101e-16,1.000000
7200,4.244984086441e-16,1.000000
7300,4.402767145565e-16,1.000000
7400,4.577789498850e-16,1.000000
7500,4.746348153059e-16,1.000000
7600,4.925240262654e-16,1.000000
7700,5.101041304488e-16,1.000000
7800,5.287941898230e-16,1.000000
7900,5.485084173046e-16,1.000000
8000,5.681197808927e-16,1.000000
8100,5.876707838442e-16,1.000000
8200,6.076773760424e-16,1.000000
8300,6.281308861242e-16,1.000000
8400,6.492261418713e-16,1.000000
8500,6.698950035391e-16,1.000000
8600,6.917463833686e-16,1.000000
8700,7.134767598804e-16,1.000000
8800,7.364811478476e-16,1.000000
8900,7.599975682720e-16,1.000000
9000,7.841451218692e-16,1.000000
9100,8.079751051245e-16,1.000000
9200,8.324133281952e-16,1.000000
9300,8.579113438900e-16,1.000000
9400,8.848569374286e-16,1.000000
9500,9.106379199628e-16,1.000000
9600,9.369204172581e-16,1.000000
9700,9.634603420564e-16,1.000000
9800,9.920277342393e-16,1.000000
9900,1.021324602736e-15,1.000000
10000,1.050509942302e-15,1.000000
10100,1.080473141699e-15,1.000000
10200,1.111674764666e-15,1.000000
10300,1.142494171241e-15,1.000000
10400,1.173222995613e-15,1.000000
10500,1.205235175908e-15,1.000000
10600,1.238631979900e-15,1.000000
10700,1.272479068752e-15,1.000000
10800,1.306647911890e-15,1.000000
10900,1.340122522973e-15,1.000000
11000,1.374159212780e-15,1.000000
11100,1.410175035861e-15,1.000000
11200,1.445197563947e-15,1.000000
11300,1.480682657522e-15,1.000000
11400,1.516025296178e-15,1.000000
11500,1.553387922687e-15,1.000000
11600,1.591198341242e-15,1.000000
11700,1.628048232570e-15,1.000000
11800,1.667170475569e-15,1.000000
11900,1.706094854423e-15,1.000000
12000,1.744608153452e-15,1.000000
12100,1.785001300056e-15,1.000000
12200,1.826003509181e-15,1.000000
12300,1.865187394761e-15,1.000000
12400,1.908174362864e-15,1.000000
12500,1.950199980506e-15,1.000000
12600,1.992264725979e-15,1.000000
12700,2.034979500780e-15,1.000000
12800,2.078529080815e-15,1.000000
12900,2.123890785266e-15,1.000000
13000,2.169123064389e-15,1.000000
13100,2.213516929810e-15,1.000000
13200,2.259833456812e-15,1.000000
13300,2.308167238615e-15,1.000000
13400,2.356360631022e-15,1.000000
13500,2.405386183428e-15,1.000000
13600,2.453918750140e-15,1.000000
13700,2.503289741157e-15,1.000000
13800,2.555702877941e-15,1.000000
