time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,6.737101641750e-20,1.000000
200,1.161784715794e-19,1.000000
300,2.477669091612e-19,1.000000
400,3.423814829320e-19,1.000000
500,4.474845238012e-19,1.000000
600,6.579989315936e-19,1.000000
700,8.522111378090e-19,1.000000
800,1.224111636308e-18,1.000001
900,1.571959468967e-18,1.000001
1000,2.006774985972e-18,1.000001
1100,2.524727635933e-18,1.000001
1200,3.369906745868e-18,1.000001
1300,4.116851232956e-18,1.000001
1400,4.988693718502e-18,1.000002
1500,5.852791074231e-18,1.000002
1600,6.864980316651e-18,1.000002
1700,7.938966070894e-18,1.000002
1800,9.322581941248e-18,1.000003
1900,1.069174642034e-17,1.000003
2000,1.199864143416e-17,1.000003
2100,1.317220861309e-17,1.000004
2200,1.485919350152e-17,1.000004
2300,1.647771082116e-17,1.000004
2400,1.825733402840e-17,1.000005
2500,2.034785047706e-17,1.000005
2600,2.230868770884e-17,1.000006
2700,2.468999962234e-17,1.000006
2800,2.665216271585e-17,1.000007
2900,2.910406030381e-17,1.000007
3000,3.187509998453e-17,1.000008
3100,3.415727505933e-17,1.000009
3200,3.714830033570e-17,1.000009
3300,3.988825451653e-17,1.000010
3400,4.218381720110e-17,1.000010
3500,4.464229824056e-17,1.000011
3600,4.748992615469e-17,1.000012
3700,5.035597368771e-17,1.000012
3800,5.301665873606e-17,1.000013
3900,5.566950242901e-17,1.000014
4000,5.862765361179e-17,1.000015
4100,6.135812163794e-17,1.000016
4200,6.405993142565e-17,1.000016
4300,6.684770922032e-17,1.000017
4400,6.985241368294e-17,1.000018
4500,7.241576231805e-17,1.000019
4600,7.465769298368e-17,1.000020
4700,7.714939927298e-17,1.000021
4800,7.961681430475e-17,1.000021
4900,8.194625771125e-17,1.000022
5000,8.434740125261e-17,1.000023
5100,8.653298532052e-17,1.000024
5200,8.877750049651e-17,1.000025
5300,9.084871721803e-17,1.000026
5400,9.287688838598e-17,1.000027
5500,9.475445689082e-17,1.000028
5600,9.631579745090e-17,1.000029
5700,9.778072808876e-17,1.000030
5800,9.891340218272e-17,1.000031
5900,1.004747261048e-16,1.000032
6000,1.015543410949e-16,1.000033
6100,1.024294023888e-16,1.000034
6200,1.036535890808e-16,1.000035
6300,1.045886586842e-16,1.000036
6400,1.056672194532e-16,1.000037
6500,1.062759823629e-16,1.000038
6600,1.073960600307e-16,1.000039
6700,1.080815413520e-16,1.000040
6800,1.086854382137e-16,1.000041
6900,1.093470210075e-16,1.000042
7000,1.095867206495e-16,1.000043
7100,1.107979073844e-16,1.000044
7200,1.112407538698e-16,1.000045
7300,1.117668705181e-16,1.000046
7400,1.119216819535e-16,1.000048
7500,1.116827508314e-16,1.000049
7600,1.112918501520e-16,1.000050
7700,1.113575976288e-16,1.000051
7800,1.118486476707e-16,1.000052
7900,1.119348024583e-16,1.000053
8000,1.122191343206e-16,1.000054
8100,1.115262137224e-16,1.000055
8200,1.112346419954e-16,1.000056
8300,1.111814807464e-16,1.000057
8400,1.120732075019e-16,1.000058
8500,1.122579258640e-16,1.000059
8600,1.125211482903e-16,1.000060
8700,1.126774000895e-16,1.000061
8800,1.130311579159e-16,1.000062
8900,1.129325517526e-16,1.000063
9000,1.132097958035e-16,1.000064
9100,1.128728019040e-16,1.000066
9200,1.131181358542e-16,1.000067
9300,1.125768428578e-16,1.000068
9400,1.125986025391e-16,1.000069
9500,1.126146710109e-16,1.000070
9600,1.123849829195e-16,1.000071
9700,1.120559462628e-16,1.000072
9800,1.123488321926e-16,1.000073
9900,1.122690290296e-16,1.000074
10000,1.130806464435e-16,1.000075
10100,1.131815377132e-16,1.000076
10200,1.132257724330e-16,1.000077
10300,1.132976484678e-16,1.000078
10400,1.133536878719e-16,1.000079
10500,1.135648576928e-16,1.000080
10600,1.129772607862e-16,1.000081
10700,1.134564697654e-16,1.000083
10800,1.133009102193e-16,1.000084
10900,1.128160664816e-16,1.000085
11000,1.126731337775e-16,1.000086
11100,1.124600202868e-16,1.000087
11200,1.138309040514e-16,1.000088
11300,1.132461614748e-16,1.000089
11400,1.128520601696e-16,1.000090
11500,1.122867783203e-16,1.000091
11600,1.127304624347e-16,1.000092
11700,1.129738175545e-16,1.000093
11800,1.123391752825e-16,1.000094
11900,1.131888541923e-16,1.000095
12000,1.134747141785e-16,1.000096
12100,1.131502519131e-16,1.000097
12200,1.127576424894e-16,1.000098
12300,1.123601972258e-16,1.000100
12400,1.129623733245e-16,1.000101
12500,1.127941363757e-16,1.000102
12600,1.126642591409e-16,1.000103
12700,1.125504145463e-16,1.000104
12800,1.128850912702e-16,1.000105
12900,1.127920212818e-16,1.000106
13000,1.130601678171e-16,1.000107
13100,1.121532368721e-16,1.000108
13200,1.121386535108e-16,1.000109
13300,1.123759640690e-16,1.000110
13400,1.124351969160e-16,1.000111
13500,1.119204310984e-16,1.000112
13600,1.120900183097e-16,1.000113
13700,1.115959299739e-16,1.000114
13800,1.119527517833e-16,1.000115
