time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,3.601483023762e-21,1.000000
200,5.887440656938e-20,1.000000
300,1.167585366961e-19,1.000000
400,2.150398519265e-19,1.000000
500,2.975978645191e-19,1.000000
600,4.907882593573e-19,1.000000
700,7.079146516214e-19,1.000000
800,9.473941901239e-19,1.000000
900,1.309878216235e-18,1.000000
1000,1.824619870621e-18,1.000000
1100,2.377653949568e-18,1.000000
1200,2.997645892322e-18,1.000000
1300,3.834037235158e-18,1.000000
1400,4.754369162202e-18,1.000000
1500,5.917973410629e-18,1.000000
1600,7.049288672309e-18,1.000000
1700,8.110792157304e-18,1.000000
1800,9.233910821546e-18,1.000000
1900,1.051473765332e-17,1.000000
2000,1.205723673664e-17,1.000000
2100,1.401687738974e-17,1.000000
2200,1.632364049224e-17,1.000000
2300,1.833795897171e-17,1.000000
2400,2.058841583738e-17,1.000000
2500,2.285519450227e-17,1.000000
2600,2.556663674086e-17,1.000000
2700,2.833201063382e-17,1.000000
2800,3.077235326209e-17,1.000000
2900,3.365213722148e-17,1.000000
3000,3.699555987880e-17,1.000000
3100,4.041816318118e-17,1.000000
3200,4.437824565055e-17,1.000000
3300,4.802699820715e-17,1.000000
3400,5.221922458756e-17,1.000000
3500,5.655622285317e-17,1.000000
3600,6.133825410388e-17,1.000000
3700,6.651025674084e-17,1.000000
3800,7.204304559986e-17,1.000000
3900,7.776808687743e-17,1.000000
4000,8.307854750563e-17,1.000000
4100,8.904798578102e-17,1.000000
4200,9.561376122036e-17,1.000000
4300,1.017356949460e-16,1.000000
4400,1.086039570238e-16,1.000000
4500,1.155016334759e-16,1.000000
4600,1.232571314026e-16,1.000000
4700,1.310105106407e-16,1.000000
4800,1.394484546384e-16,1.000000
4900,1.478575486140e-16,1.000000
5000,1.559948791608e-16,1.000000
5100,1.645994476151e-16,1.000000
5200,1.734380712314e-16,1.000000
5300,1.825895651335e-16,1.000000
5400,1.923242772233e-16,1.000000
5500,2.027395471300e-16,1.000000
5600,2.131722310030e-16,1.000000
5700,2.239756322560e-16,1.000000
5800,2.351683008253e-16,1.000000
5900,2.456179385273e-16,1.000000
6000,2.566868294492e-16,1.000000
6100,2.691598306917e-16,1.000000
6200,2.813929750816e-16,1.000000
6300,2.949615330149e-16,1.000000
6400,3.077823730810e-16,1.000000
6500,3.204640929463e-16,1.000000
6600,3.335046792106e-16,1.000000
6700,3.481849714016e-16,1.000000
6800,3.628257824589e-16,1.000000
6900,3.784437989460e-16,1.000000
7000,3.940556126396e-16,1.000000
7100,4.104226652656e-16,1.000000
7200,4.266104513077e-16,1.000000
7300,4.433916157638e-16,1.000000
7400,4.607937641949e-16,1.000000
7500,4.778342984952e-16,1.000000
7600,4.953521533181e-16,1.000000
7700,5.134575973427e-16,1.000000
7800,5.320861736545e-16,1.000000
7900,5.509953054386e-16,1.000000
8000,5.696355142741e-16,1.000000
8100,5.897658574487e-16,1.000000
8200,6.104987075231e-16,1.000000
8300,6.319258170114e-16,1.000000
8400,6.522505143846e-16,1.000000
8500,6.748396310515e-16,1.000000
8600,6.963809720666e-16,1.000000
8700,7.186706638834e-16,1.000000
8800,7.424152920681e-16,1.000000
8900,7.660142925862e-16,1.000000
9000,7.893135475827e-16,1.000000
9100,8.133608629823e-16,1.000000
9200,8.390147730769e-16,1.000000
9300,8.644136240856e-16,1.000000
9400,8.904262172554e-16,1.000000
9500,9.170939130582e-16,1.000000
9600,9.434047284101e-16,1.000000
9700,9.696478282281e-16,1.000000
9800,9.971393085987e-16,1.000000
9900,1.026454664693e-15,1.000000
10000,1.055824922258e-15,1.000000
10100,1.084384233243e-15,1.000000
10200,1.113818404998e-15,1.000000
10300,1.144209485341e-15,1.000000
10400,1.175464670270e-15,1.000000
10500,1.207018651455e-15,1.000000
10600,1.237788046820e-15,1.000000
10700,1.270504181582e-15,1.000000
10800,1.303384269386e-15,1.000000
10900,1.336708461070e-15,1.000000
11000,1.370500852517e-15,1.000000
11100,1.405533942230e-15,1.000000
11200,1.440734769969e-15,1.000000
11300,1.476698661153e-15,1.000000
11400,1.512660872084e-15,1.000000
11500,1.548040690327e-15,1.000000
11600,1.585883291082e-15,1.000000
11700,1.623211609159e-15,1.000000
11800,1.662140168882e-15,1.000000
11900,1.700363742891e-15,1.000000
12000,1.738694156122e-15,1.000000
12100,1.777677751329e-15,1.000000
12200,1.818386956147e-15,1.000000
12300,1.860059438075e-15,1.000000
12400,1.901957372801e-15,1.000000
12500,1.943733458482e-15,1.000000
12600,1.987407390884e-15,1.000000
12700,2.029828867523e-15,1.000000
12800,2.073081157486e-15,1.000000
12900,2.116609094885e-15,1.000000
13000,2.162533076522e-15,1.000000
13100,2.207969518684e-15,1.000000
13200,2.255562964775e-15,1.000000
13300,2.302444881237e-15,1.000000
13400,2.347914539261e-15,1.000000
13500,2.395651349216e-15,1.000000
13600,2.445073182222e-15,1.000000
13700,2.493979595969e-15,1.000000
13800,2.544335427828e-15,1.000000
