time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,2.510452908413e-20,1.000000
300,7.341654450595e-20,1.000000
400,1.983920502503e-19,1.000000
500,3.617443513544e-19,1.000000
600,6.308494379610e-19,1.000000
700,8.657008867319e-19,1.000000
800,1.168376204750e-18,1.000000
900,1.560916779068e-18,1.000000
1000,2.058410134126e-18,1.000000
1100,2.569941748164e-18,1.000000
1200,3.296216890395e-18,1.000000
1300,4.070093628822e-18,1.000000
1400,5.065097449657e-18,1.000000
1500,6.052334977909e-18,1.000000
1600,7.074794013649e-18,1.000000
1700,8.380095981290e-18,1.000000
1800,9.947246433870e-18,1.000000
1900,1.146671291767e-17,1.000000
2000,1.294532433944e-17,1.000000
2100,1.480309219541e-17,1.000000
2200,1.636871357286e-17,1.000000
2300,1.824148384390e-17,1.000000
2400,2.051936645959e-17,1.000000
2500,2.306630956579e-17,1.000000
2600,2.536845295311e-17,1.000000
2700,2.789923985621e-17,1.000000
2800,3.089569536411e-17,1.000000
2900,3.364606172113e-17,1.000000
3000,3.728081879617e-17,1.000000
3100,4.105237434498e-17,1.000000
3200,4.474394613905e-17,1.000000
3300,4.875409611642e-17,1.000000
3400,5.233313608198e-17,1.000000
3500,5.654579623531e-17,1.000000
3600,6.166741421793e-17,1.000000
3700,6.672855725764e-17,1.000000
3800,7.236466879545e-17,1.000000
3900,7.768217779986e-17,1.000000
4000,8.342136090227e-17,1.000000
4100,8.948238299752e-17,1.000000
4200,9.594054504296e-17,1.000000
4300,1.021635365705e-16,1.000000
4400,1.088662957548e-16,1.000000
4500,1.169788745997e-16,1.000000
4600,1.244153380766e-16,1.000000
4700,1.319309164546e-16,1.000000
4800,1.396752295210e-16,1.000000
4900,1.480654112728e-16,1.000000
5000,1.563111755121e-16,1.000000
5100,1.647319400667e-16,1.000000
5200,1.738702989328e-16,1.000000
5300,1.835355248318e-16,1.000000
5400,1.936562631998e-16,1.000000
5500,2.036479384473e-16,1.000000
5600,2.135463858245e-16,1.000000
5700,2.243629349672e-16,1.000000
5800,2.361860858099e-16,1.000000
5900,2.467545411964e-16,1.000000
6000,2.584183649262e-16,1.000000
6100,2.703853592016e-16,1.000000
6200,2.834663615623e-16,1.000000
6300,2.954540274625e-16,1.000000
6400,3.074839207994e-16,1.000000
6500,3.211561232231e-16,1.000000
6600,3.333957253885e-16,1.000000
6700,3.482309470062e-16,1.000000
6800,3.633298872345e-16,1.000000
6900,3.785094561138e-16,1.000000
7000,3.939187817087e-16,1.000000
7100,4.090154384396e-16,1.000000
7200,4.245130755182e-16,1.000000
7300,4.402924310649e-16,1.000000
7400,4.566852961681e-16,1.000000
7500,4.741900964066e-16,1.000000
7600,4.917711280614e-16,1.000000
7700,5.101538301791e-16,1.000000
7800,5.283859653426e-16,1.000000
7900,5.476764792608e-16,1.000000
8000,5.686627738103e-16,1.000000
8100,5.887029373458e-16,1.000000
8200,6.080376578764e-16,1.000000
8300,6.282066925128e-16,1.000000
8400,6.495335328695e-16,1.000000
8500,6.714911167246e-16,1.000000
8600,6.930492409972e-16,1.000000
8700,7.158431327835e-16,1.000000
8800,7.386741565825e-16,1.000000
8900,7.617762683580e-16,1.000000
9000,7.858422799625e-16,1.000000
9100,8.104982858407e-16,1.000000
9200,8.348850157673e-16,1.000000
9300,8.607930562231e-16,1.000000
9400,8.876188835809e-16,1.000000
9500,9.151949135056e-16,1.000000
9600,9.400163076813e-16,1.000000
9700,9.677252756472e-16,1.000000
9800,9.949450259873e-16,1.000000
9900,1.022830440324e-15,1.000000
10000,1.051952341831e-15,1.000000
10100,1.080864282242e-15,1.000000
10200,1.111059515954e-15,1.000000
10300,1.141616946082e-15,1.000000
10400,1.171560853388e-15,1.000000
10500,1.203094700917e-15,1.000000
10600,1.235041347433e-15,1.000000
10700,1.268504415168e-15,1.000000
10800,1.299850028792e-15,1.000000
10900,1.333875087901e-15,1.000000
11000,1.368257432741e-15,1.000000
11100,1.402797106609e-15,1.000000
11200,1.439684655451e-15,1.000000
11300,1.474915161397e-15,1.000000
11400,1.511473135784e-15,1.000000
11500,1.547955603921e-15,1.000000
11600,1.585095623468e-15,1.000000
11700,1.623089722091e-15,1.000000
11800,1.660551894715e-15,1.000000
11900,1.700035206996e-15,1.000000
12000,1.740735847335e-15,1.000000
12100,1.782038626203e-15,1.000000
12200,1.821949945506e-15,1.000000
12300,1.862951351090e-15,1.000000
12400,1.904096898269e-15,1.000000
12500,1.946095823869e-15,1.000000
12600,1.989042305728e-15,1.000000
12700,2.033501164633e-15,1.000000
12800,2.076935459128e-15,1.000000
12900,2.121565485510e-15,1.000000
13000,2.164815026705e-15,1.000000
13100,2.211329322925e-15,1.000000
13200,2.258013644098e-15,1.000000
13300,2.303846193048e-15,1.000000
13400,2.352648734244e-15,1.000000
13500,2.400649298661e-15,1.000000
13600,2.448896436727e-15,1.000000
13700,2.499112891920e-15,1.000000
13800,2.547149547138e-15,1.000000
