time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,3.695225993733e-20,1.000000
200,4.046132477783e-20,1.000000
300,1.100268671523e-19,1.000000
400,1.741280881373e-19,1.000000
500,3.703341908224e-19,1.000000
600,5.220622346784e-19,1.000000
700,7.846601211696e-19,1.000000
800,1.147841534775e-18,1.000000
900,1.539919746575e-18,1.000000
1000,1.965535267273e-18,1.000000
1100,2.537803467349e-18,1.000000
1200,3.207755715602e-18,1.000000
1300,4.115500562459e-18,1.000000
1400,4.961201614228e-18,1.000000
1500,5.690304455345e-18,1.000000
1600,6.573594244953e-18,1.000000
1700,7.850306663372e-18,1.000000
1800,9.191594391347e-18,1.000000
1900,1.084267948554e-17,1.000000
2000,1.231337853686e-17,1.000000
2100,1.404258324599e-17,1.000000
2200,1.627824000387e-17,1.000000
2300,1.840625767048e-17,1.000000
2400,2.082627662667e-17,1.000000
2500,2.308172743964e-17,1.000000
2600,2.556065422042e-17,1.000000
2700,2.843915774851e-17,1.000000
2800,3.140184391482e-17,1.000000
2900,3.450027870982e-17,1.000000
3000,3.792535341660e-17,1.000000
3100,4.159786381288e-17,1.000000
3200,4.545242355187e-17,1.000000
3300,4.937346906269e-17,1.000000
3400,5.368950856957e-17,1.000000
3500,5.790146337367e-17,1.000000
3600,6.222254362928e-17,1.000000
3700,6.691765541575e-17,1.000000
3800,7.220250006021e-17,1.000000
3900,7.767188821717e-17,1.000000
4000,8.316390713292e-17,1.000000
4100,8.898952664022e-17,1.000000
4200,9.474630870861e-17,1.000000
4300,1.011563766871e-16,1.000000
4400,1.073737510567e-16,1.000000
4500,1.147556894902e-16,1.000000
4600,1.210773209976e-16,1.000000
4700,1.284968066458e-16,1.000000
4800,1.363374973988e-16,1.000000
4900,1.450482624437e-16,1.000000
5000,1.536032453655e-16,1.000000
5100,1.628835447326e-16,1.000000
5200,1.720789675765e-16,1.000000
5300,1.816120104331e-16,1.000000
5400,1.911673886402e-16,1.000000
5500,2.013729621329e-16,1.000000
5600,2.116266617927e-16,1.000000
5700,2.227708333402e-16,1.000000
5800,2.342062160641e-16,1.000000
5900,2.457484498457e-16,1.000000
6000,2.573917419650e-16,1.000000
6100,2.696762919162e-16,1.000000
6200,2.814553959434e-16,1.000000
6300,2.934196664057e-16,1.000000
6400,3.072580655697e-16,1.000000
6500,3.197748439752e-16,1.000000
6600,3.343083552510e-16,1.000000
6700,3.479674160534e-16,1.000000
6800,3.625875546446e-16,1.000000
6900,3.761405760500e-16,1.000000
7000,3.915165779671e-16,1.000000
7100,4.070946441172e-16,1.000000
7200,4.228211966393e-16,1.000000
7300,4.397367399473e-16,1.000000
7400,4.565311839250e-16,1.000000
7500,4.734409004216e-16,1.000000
7600,4.913668714163e-16,1.000000
7700,5.101503147263e-16,1.000000
7800,5.284789786002e-16,1.000000
7900,5.463842221726e-16,1.000000
8000,5.662997857839e-16,1.000000
8100,5.864366232654e-16,1.000000
8200,6.076596621764e-16,1.000000
8300,6.292372109728e-16,1.000000
8400,6.496518807899e-16,1.000000
8500,6.723492364951e-16,1.000000
8600,6.954307161788e-16,1.000000
8700,7.184334390903e-16,1.000000
8800,7.406345369580e-16,1.000000
8900,7.636792820111e-16,1.000000
9000,7.854351195724e-16,1.000000
9100,8.103171832610e-16,1.000000
9200,8.344125464529e-16,1.000000
9300,8.595889628411e-16,1.000000
9400,8.855509520735e-16,1.000000
9500,9.118801696199e-16,1.000000
9600,9.391883558889e-16,1.000000
9700,9.657939077356e-16,1.000000
9800,9.936996727449e-16,1.000000
9900,1.022786823664e-15,1.000000
10000,1.051940798438e-15,1.000000
10100,1.081211358085e-15,1.000000
10200,1.110947051006e-15,1.000000
10300,1.140746094500e-15,1.000000
10400,1.171708882280e-15,1.000000
10500,1.202875639711e-15,1.000000
10600,1.235417313674e-15,1.000000
10700,1.267140570280e-15,1.000000
10800,1.301554510862e-15,1.000000
10900,1.334678589129e-15,1.000000
11000,1.367589334638e-15,1.000000
11100,1.400250059628e-15,1.000000
11200,1.434677806579e-15,1.000000
11300,1.470431682313e-15,1.000000
11400,1.505090867066e-15,1.000000
11500,1.541147524662e-15,1.000000
11600,1.577735225974e-15,1.000000
11700,1.615344487447e-15,1.000000
11800,1.653320857840e-15,1.000000
11900,1.693060334978e-15,1.000000
12000,1.735208244200e-15,1.000000
12100,1.775309587974e-15,1.000000
12200,1.816307896765e-15,1.000000
12300,1.856186597894e-15,1.000000
12400,1.898614081529e-15,1.000000
12500,1.940308346662e-15,1.000000
12600,1.982625869789e-15,1.000000
12700,2.025222792783e-15,1.000000
12800,2.070825797606e-15,1.000000
12900,2.116097141193e-15,1.000000
13000,2.162039465255e-15,1.000000
13100,2.206747557438e-15,1.000000
13200,2.252715050055e-15,1.000000
13300,2.300256374833e-15,1.000000
13400,2.348018919762e-15,1.000000
13500,2.395230501074e-15,1.000000
13600,2.444518963486e-15,1.000000
13700,2.495768567128e-15,1.000000
13800,2.545601062670e-15,1.000000
