time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,3.580129433494e-20,1.000000
200,3.988632670132e-20,1.000000
300,8.132939462534e-20,1.000000
400,1.984860319087e-19,1.000000
500,3.753354894813e-19,1.000000
600,5.690408022944e-19,1.000000
700,9.412726595814e-19,1.000000
800,1.170667712558e-18,1.000000
900,1.508418699603e-18,1.000000
1000,1.966127602294e-18,1.000000
1100,2.421192093360e-18,1.000000
1200,3.071448657008e-18,1.000000
1300,3.819625085431e-18,1.000000
1400,4.556760603299e-18,1.000000
1500,5.363458619488e-18,1.000000
1600,6.368526604225e-18,1.000000
1700,7.432038942514e-18,1.000000
1800,8.904753485363e-18,1.000000
1900,1.042056090598e-17,1.000000
2000,1.193672433501e-17,1.000000
2100,1.359105750368e-17,1.000000
2200,1.554099505635e-17,1.000000
2300,1.752723197781e-17,1.000000
2400,1.960239505884e-17,1.000000
2500,2.153374164121e-17,1.000000
2600,2.404278594868e-17,1.000000
2700,2.709714103950e-17,1.000000
2800,3.012003419289e-17,1.000000
2900,3.370368131696e-17,1.000000
3000,3.701667554207e-17,1.000000
3100,4.088603744947e-17,1.000000
3200,4.474023756527e-17,1.000000
3300,4.859672049990e-17,1.000000
3400,5.227031040324e-17,1.000000
3500,5.658919362412e-17,1.000000
3600,6.120706779958e-17,1.000000
3700,6.609237159255e-17,1.000000
3800,7.106562873107e-17,1.000000
3900,7.595511310374e-17,1.000000
4000,8.131736964185e-17,1.000000
4100,8.694421220958e-17,1.000000
4200,9.300807287211e-17,1.000000
4300,1.000883389066e-16,1.000000
4400,1.067348280885e-16,1.000000
4500,1.137587551372e-16,1.000000
4600,1.206683553370e-16,1.000000
4700,1.277805902772e-16,1.000000
4800,1.358172167838e-16,1.000000
4900,1.441726428903e-16,1.000000
5000,1.526276180920e-16,1.000000
5100,1.617443812829e-16,1.000000
5200,1.705046995414e-16,1.000000
5300,1.789589702813e-16,1.000000
5400,1.890219341013e-16,1.000000
5500,1.983777515776e-16,1.000000
5600,2.086506023286e-16,1.000000
5700,2.190884906442e-16,1.000000
5800,2.304568069604e-16,1.000000
5900,2.417656778217e-16,1.000000
6000,2.537319390935e-16,1.000000
6100,2.657600952152e-16,1.000000
6200,2.787838192130e-16,1.000000
6300,2.915249632316e-16,1.000000
6400,3.047670199832e-16,1.000000
6500,3.183533367123e-16,1.000000
6600,3.319829524619e-16,1.000000
6700,3.461757037374e-16,1.000000
6800,3.602212790519e-16,1.000000
6900,3.755236747250e-16,1.000000
7000,3.904479685817e-16,1.000000
7100,4.061111984511e-16,1.000000
7200,4.219587816876e-16,1.000000
7300,4.395744215742e-16,1.000000
7400,4.563204520689e-16,1.000000
7500,4.734423414797e-16,1.000000
7600,4.904262808170e-16,1.000000
7700,5.081669435750e-16,1.000000
7800,5.280160762100e-16,1.000000
7900,5.476160193254e-16,1.000000
8000,5.670344092410e-16,1.000000
8100,5.867996478987e-16,1.000000
8200,6.074428306171e-16,1.000000
8300,6.296641603935e-16,1.000000
8400,6.498781126537e-16,1.000000
8500,6.713093380968e-16,1.000000
8600,6.924492290096e-16,1.000000
8700,7.145846496057e-16,1.000000
8800,7.382546239981e-16,1.000000
8900,7.607613709471e-16,1.000000
9000,7.843091983804e-16,1.000000
9100,8.090079844036e-16,1.000000
9200,8.342212987047e-16,1.000000
9300,8.587077526902e-16,1.000000
9400,8.832520130919e-16,1.000000
9500,9.099269514160e-16,1.000000
9600,9.379192973994e-16,1.000000
9700,9.658987439755e-16,1.000000
9800,9.932532814859e-16,1.000000
9900,1.020960900894e-15,1.000000
10000,1.049811071805e-15,1.000000
10100,1.079300638167e-15,1.000000
10200,1.110104223962e-15,1.000000
10300,1.141524207841e-15,1.000000
10400,1.172342210190e-15,1.000000
10500,1.203652089396e-15,1.000000
10600,1.235607465052e-15,1.000000
10700,1.266938908750e-15,1.000000
10800,1.298611242544e-15,1.000000
10900,1.333055561581e-15,1.000000
11000,1.367227065751e-15,1.000000
11100,1.402237308624e-15,1.000000
11200,1.438976381699e-15,1.000000
11300,1.472691941220e-15,1.000000
11400,1.508554898126e-15,1.000000
11500,1.544955075437e-15,1.000000
11600,1.581525179361e-15,1.000000
11700,1.618929876353e-15,1.000000
11800,1.658441497410e-15,1.000000
11900,1.697349083995e-15,1.000000
12000,1.736971542350e-15,1.000000
12100,1.776490345365e-15,1.000000
12200,1.816934110845e-15,1.000000
12300,1.858258736528e-15,1.000000
12400,1.901496111475e-15,1.000000
12500,1.943768098697e-15,1.000000
12600,1.986664956985e-15,1.000000
12700,2.031700941931e-15,1.000000
12800,2.076548056873e-15,1.000000
12900,2.121005862070e-15,1.000000
13000,2.165210065005e-15,1.000000
13100,2.211798616253e-15,1.000000
13200,2.257622272853e-15,1.000000
13300,2.304247019799e-15,1.000000
13400,2.351342945673e-15,1.000000
13500,2.400391936364e-15,1.000000
13600,2.448685082849e-15,1.000000
13700,2.495896639485e-15,1.000000
13800,2.547371469598e-15,1.000000
