time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,1.814741221658e-20,1.000000
300,1.373275415967e-19,1.000000
400,1.981353693489e-19,1.000000
500,3.249897016515e-19,1.000000
600,5.520465593839e-19,1.000000
700,7.675112018521e-19,1.000000
800,1.204161806770e-18,1.000000
900,1.669870024902e-18,1.000000
1000,2.410921573980e-18,1.000000
1100,2.919391340167e-18,1.000000
1200,3.776851888326e-18,1.000000
1300,4.320517373833e-18,1.000000
1400,5.005250840496e-18,1.000000
1500,6.046112324925e-18,1.000000
1600,7.067015749023e-18,1.000000
1700,8.304430995403e-18,1.000000
1800,9.463292847004e-18,1.000000
1900,1.097759202461e-17,1.000000
2000,1.249723407183e-17,1.000000
2100,1.438431787598e-17,1.000000
2200,1.619977922133e-17,1.000000
2300,1.831987716991e-17,1.000000
2400,2.057949057796e-17,1.000000
2500,2.284739693604e-17,1.000000
2600,2.529306058688e-17,1.000000
2700,2.803478923457e-17,1.000000
2800,3.118727166006e-17,1.000000
2900,3.418567117816e-17,1.000000
3000,3.741171635030e-17,1.000000
3100,4.095738991970e-17,1.000000
3200,4.422766044481e-17,1.000000
3300,4.810860781417e-17,1.000000
3400,5.189843119446e-17,1.000000
3500,5.554885665864e-17,1.000000
3600,6.013839483220e-17,1.000000
3700,6.465929458988e-17,1.000000
3800,6.947816630074e-17,1.000000
3900,7.487796527817e-17,1.000000
4000,8.088468348910e-17,1.000000
4100,8.707348158129e-17,1.000000
4200,9.341809649087e-17,1.000000
4300,9.947312001329e-17,1.000000
4400,1.063395858035e-16,1.000000
4500,1.134909453424e-16,1.000000
4600,1.205808495860e-16,1.000000
4700,1.282247893163e-16,1.000000
4800,1.357263711245e-16,1.000000
4900,1.433736412215e-16,1.000000
5000,1.512041634222e-16,1.000000
5100,1.602895795001e-16,1.000000
5200,1.690372570736e-16,1.000000
5300,1.790049156979e-16,1.000000
5400,1.889296515358e-16,1.000000
5500,1.990472390482e-16,1.000000
5600,2.096785912247e-16,1.000000
5700,2.205068484862e-16,1.000000
5800,2.312549916474e-16,1.000000
5900,2.427039713982e-16,1.000000
6000,2.546747941052e-16,1.000000
6100,2.664150677373e-16,1.000000
6200,2.785660146762e-16,1.000000
6300,2.906097036503e-16,1.000000
6400,3.043603293769e-16,1.000000
6500,3.179086532170e-16,1.000000
6600,3.317379226888e-16,1.000000
6700,3.459674974409e-16,1.000000
6800,3.610707500958e-16,1.000000
6900,3.759926526150e-16,1.000000
7000,3.916492573407e-16,1.000000
7100,4.069210288146e-16,1.000000
7200,4.224798018709e-16,1.000000
7300,4.389059749157e-16,1.000000
7400,4.548341484433e-16,1.000000
7500,4.722301299482e-16,1.000000
7600,4.909987211817e-16,1.000000
7700,5.093540343415e-16,1.000000
7800,5.272983770119e-16,1.000000
7900,5.462314386098e-16,1.000000
8000,5.659070989473e-16,1.000000
8100,5.862475748310e-16,1.000000
8200,6.074080577885e-16,1.000000
8300,6.280752335912e-16,1.000000
8400,6.491447719088e-16,1.000000
8500,6.706776187255e-16,1.000000
8600,6.932845994142e-16,1.000000
8700,7.151620551673e-16,1.000000
8800,7.373054683519e-16,1.000000
8900,7.611239797158e-16,1.000000
9000,7.847210535038e-16,1.000000
9100,8.093095646769e-16,1.000000
9200,8.346965166155e-16,1.000000
9300,8.594014909866e-16,1.000000
9400,8.847533089811e-16,1.000000
9500,9.119227730924e-16,1.000000
9600,9.394013264536e-16,1.000000
9700,9.654126815434e-16,1.000000
9800,9.936974794836e-16,1.000000
9900,1.021099647088e-15,1.000000
10000,1.050134957730e-15,1.000000
10100,1.078339753722e-15,1.000000
10200,1.107550151336e-15,1.000000
10300,1.138872301913e-15,1.000000
10400,1.168790121000e-15,1.000000
10500,1.200184951079e-15,1.000000
10600,1.232515938261e-15,1.000000
10700,1.265163936835e-15,1.000000
10800,1.297915754717e-15,1.000000
10900,1.331516809212e-15,1.000000
11000,1.364633399432e-15,1.000000
11100,1.398380894872e-15,1.000000
11200,1.432926454929e-15,1.000000
11300,1.467341186761e-15,1.000000
11400,1.503479730031e-15,1.000000
11500,1.540041205092e-15,1.000000
11600,1.576716304953e-15,1.000000
11700,1.613368274159e-15,1.000000
11800,1.650446696265e-15,1.000000
11900,1.688363786773e-15,1.000000
12000,1.726707764372e-15,1.000000
12100,1.766415019936e-15,1.000000
12200,1.806079250680e-15,1.000000
12300,1.846242137363e-15,1.000000
12400,1.888380477217e-15,1.000000
12500,1.930853082341e-15,1.000000
12600,1.973244247455e-15,1.000000
12700,2.016863300104e-15,1.000000
12800,2.061385394916e-15,1.000000
12900,2.105364770484e-15,1.000000
13000,2.150017537673e-15,1.000000
13100,2.196262311952e-15,1.000000
13200,2.242545992087e-15,1.000000
13300,2.289101583540e-15,1.000000
13400,2.335482796507e-15,1.000000
13500,2.385193390221e-15,1.000000
13600,2.433441722946e-15,1.000000
13700,2.483982751098e-15,1.000000
13800,2.534386316947e-15,1.000000
