time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,6.209308084170e-20,1.000000
200,1.252284598797e-19,1.000000
300,1.425539422129e-19,1.000000
400,2.448465736201e-19,1.000000
500,3.818202855160e-19,1.000000
600,6.053488029657e-19,1.000000
700,9.031854462718e-19,1.000000
800,1.113187362024e-18,1.000000
900,1.440530773488e-18,1.000000
1000,1.818722914735e-18,1.000000
1100,2.331966611190e-18,1.000000
1200,3.054913353074e-18,1.000000
1300,3.601007900094e-18,1.000000
1400,4.424684042287e-18,1.000000
1500,5.497127071692e-18,1.000000
1600,6.443478309506e-18,1.000000
1700,7.764898250197e-18,1.000000
1800,9.109283432724e-18,1.000000
1900,1.043556769291e-17,1.000000
2000,1.209190233500e-17,1.000000
2100,1.390181631236e-17,1.000000
2200,1.570365394339e-17,1.000000
2300,1.750065198548e-17,1.000000
2400,1.978713402470e-17,1.000000
2500,2.199341952995e-17,1.000000
2600,2.450340795690e-17,1.000000
2700,2.726188385568e-17,1.000000
2800,3.050477828455e-17,1.000000
2900,3.356033690184e-17,1.000000
3000,3.686199994712e-17,1.000000
3100,4.056261401224e-17,1.000000
3200,4.410921565009e-17,1.000000
3300,4.792792431330e-17,1.000000
3400,5.189375121689e-17,1.000000
3500,5.594199707302e-17,1.000000
3600,6.071157832575e-17,1.000000
3700,6.539733609845e-17,1.000000
3800,7.081987445412e-17,1.000000
3900,7.569661361944e-17,1.000000
4000,8.104317604904e-17,1.000000
4100,8.742472453477e-17,1.000000
4200,9.424977713555e-17,1.000000
4300,1.008006286199e-16,1.000000
4400,1.071026866537e-16,1.000000
4500,1.138959731478e-16,1.000000
4600,1.205908031809e-16,1.000000
4700,1.279297263120e-16,1.000000
4800,1.361802363419e-16,1.000000
4900,1.442356585956e-16,1.000000
5000,1.525495502489e-16,1.000000
5100,1.614669776346e-16,1.000000
5200,1.709647012190e-16,1.000000
5300,1.804628844629e-16,1.000000
5400,1.898087583405e-16,1.000000
5500,2.002301622745e-16,1.000000
5600,2.106321045274e-16,1.000000
5700,2.217671531982e-16,1.000000
5800,2.327443063826e-16,1.000000
5900,2.435166992649e-16,1.000000
6000,2.552454072632e-16,1.000000
6100,2.674397632412e-16,1.000000
6200,2.790419755901e-16,1.000000
6300,2.922699035486e-16,1.000000
6400,3.056397598314e-16,1.000000
6500,3.191043504508e-16,1.000000
6600,3.337293215422e-16,1.000000
6700,3.485252091958e-16,1.000000
6800,3.628800905725e-16,1.000000
6900,3.775745251243e-16,1.000000
7000,3.927668507673e-16,1.000000
7100,4.084648530354e-16,1.000000
7200,4.251348006060e-16,1.000000
7300,4.425451207976e-16,1.000000
7400,4.585692580410e-16,1.000000
7500,4.759854318054e-16,1.000000
7600,4.944350208496e-16,1.000000
7700,5.131616623564e-16,1.000000
7800,5.317617706531e-16,1.000000
7900,5.511787473706e-16,1.000000
8000,5.701897625221e-16,1.000000
8100,5.891285556374e-16,1.000000
8200,6.099105094814e-16,1.000000
8300,6.310028372582e-16,1.000000
8400,6.525859402173e-16,1.000000
8500,6.742461087116e-16,1.000000
8600,6.965689332047e-16,1.000000
8700,7.187730725421e-16,1.000000
8800,7.422635879673e-16,1.000000
8900,7.656723810283e-16,1.000000
9000,7.902067754841e-16,1.000000
9100,8.154750413782e-16,1.000000
9200,8.397499993343e-16,1.000000
9300,8.646861768084e-16,1.000000
9400,8.904043200804e-16,1.000000
9500,9.165357009727e-16,1.000000
9600,9.434721839273e-16,1.000000
9700,9.707875495867e-16,1.000000
9800,9.998422023577e-16,1.000000
9900,1.027691372331e-15,1.000000
10000,1.056927907131e-15,1.000000
10100,1.087892729834e-15,1.000000
10200,1.117421285883e-15,1.000000
10300,1.149025589553e-15,1.000000
10400,1.179301036388e-15,1.000000
10500,1.210153344581e-15,1.000000
10600,1.241796122298e-15,1.000000
10700,1.274339023841e-15,1.000000
10800,1.307161080804e-15,1.000000
10900,1.340499840836e-15,1.000000
11000,1.374485352425e-15,1.000000
11100,1.409111983204e-15,1.000000
11200,1.443355460114e-15,1.000000
11300,1.478770322820e-15,1.000000
11400,1.515124692933e-15,1.000000
11500,1.551988351675e-15,1.000000
11600,1.588119662027e-15,1.000000
11700,1.626344940008e-15,1.000000
11800,1.664186481867e-15,1.000000
11900,1.700756116943e-15,1.000000
12000,1.740338494970e-15,1.000000
12100,1.780606216563e-15,1.000000
12200,1.819664323442e-15,1.000000
12300,1.860218815459e-15,1.000000
12400,1.900550314552e-15,1.000000
12500,1.942258674740e-15,1.000000
12600,1.984786783058e-15,1.000000
12700,2.027787059674e-15,1.000000
12800,2.071274189253e-15,1.000000
12900,2.115273306256e-15,1.000000
13000,2.160322367622e-15,1.000000
13100,2.205282483447e-15,1.000000
13200,2.251818590877e-15,1.000000
13300,2.298996641843e-15,1.000000
13400,2.347495681694e-15,1.000000
13500,2.394451815947e-15,1.000000
13600,2.445583469491e-15,1.000000
13700,2.494058972688e-15,1.000000
13800,2.544521547964e-15,1.000000
