time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,4.613032314948e-20,1.000000
200,1.009394534100e-19,1.000000
300,1.515432358503e-19,1.000000
400,1.696594673477e-19,1.000000
500,2.793554444365e-19,1.000000
600,4.718449899255e-19,1.000000
700,7.205212776618e-19,1.000000
800,1.106089991111e-18,1.000000
900,1.601314115819e-18,1.000001
1000,2.215965807194e-18,1.000001
1100,2.661169793453e-18,1.000001
1200,3.126173478432e-18,1.000001
1300,3.964696305018e-18,1.000001
1400,4.804846147613e-18,1.000001
1500,5.711997567544e-18,1.000002
1600,6.955002536471e-18,1.000002
1700,8.154453838702e-18,1.000002
1800,9.361368832250e-18,1.000003
1900,1.041718102618e-17,1.000003
2000,1.160323512426e-17,1.000003
2100,1.317849893904e-17,1.000004
2200,1.485159701588e-17,1.000004
2300,1.636330971586e-17,1.000004
2400,1.831606316069e-17,1.000005
2500,2.034660959165e-17,1.000005
2600,2.219584732050e-17,1.000006
2700,2.427913932498e-17,1.000006
2800,2.618963958220e-17,1.000007
2900,2.855969789155e-17,1.000007
3000,3.065728389418e-17,1.000008
3100,3.327318558377e-17,1.000008
3200,3.575663432311e-17,1.000009
3300,3.853548090099e-17,1.000010
3400,4.161932091961e-17,1.000010
3500,4.425084586203e-17,1.000011
3600,4.680314275315e-17,1.000012
3700,4.997107712976e-17,1.000012
3800,5.270047512579e-17,1.000013
3900,5.577447904773e-17,1.000014
4000,5.849916138686e-17,1.000015
4100,6.106651675338e-17,1.000015
4200,6.382340948866e-17,1.000016
4300,6.648922389508e-17,1.000017
4400,6.877920459437e-17,1.000018
4500,7.148949590208e-17,1.000019
4600,7.423607411370e-17,1.000019
4700,7.662849323332e-17,1.000020
4800,7.934735817119e-17,1.000021
4900,8.175776572367e-17,1.000022
5000,8.402124333352e-17,1.000023
5100,8.630582345977e-17,1.000024
5200,8.858901897200e-17,1.000025
5300,9.072724916761e-17,1.000026
5400,9.252648464585e-17,1.000027
5500,9.406908549282e-17,1.000028
5600,9.596025432792e-17,1.000029
5700,9.729765898955e-17,1.000030
5800,9.859739176051e-17,1.000031
5900,9.966814420409e-17,1.000032
6000,1.008538105780e-16,1.000033
6100,1.019188831455e-16,1.000034
6200,1.027053497501e-16,1.000035
6300,1.037430717047e-16,1.000036
6400,1.045562807292e-16,1.000037
6500,1.049803025401e-16,1.000038
6600,1.060182981530e-16,1.000039
6700,1.069575668417e-16,1.000040
6800,1.074835373493e-16,1.000041
6900,1.084317464531e-16,1.000042
7000,1.085547538901e-16,1.000043
7100,1.084861710509e-16,1.000044
7200,1.090873700059e-16,1.000045
7300,1.095281523644e-16,1.000046
7400,1.102306694713e-16,1.000047
7500,1.109034793955e-16,1.000048
7600,1.111868990271e-16,1.000049
7700,1.113316135096e-16,1.000050
7800,1.122204767512e-16,1.000051
7900,1.122852125798e-16,1.000053
8000,1.124973744638e-16,1.000054
8100,1.127309859537e-16,1.000055
8200,1.126134169209e-16,1.000056
8300,1.126024680565e-16,1.000057
8400,1.122530764931e-16,1.000058
8500,1.126236803886e-16,1.000059
8600,1.126798042229e-16,1.000060
8700,1.130656920057e-16,1.000061
8800,1.130088427505e-16,1.000062
8900,1.131546391118e-16,1.000063
9000,1.124847322557e-16,1.000064
9100,1.128300043393e-16,1.000065
9200,1.128877362450e-16,1.000066
9300,1.132090755372e-16,1.000067
9400,1.130258335432e-16,1.000068
9500,1.132079563011e-16,1.000070
9600,1.130841311141e-16,1.000071
9700,1.130669330518e-16,1.000072
9800,1.138142850906e-16,1.000073
9900,1.129753804966e-16,1.000074
10000,1.128369267937e-16,1.000075
10100,1.126800381030e-16,1.000076
10200,1.127917947449e-16,1.000077
10300,1.130636582070e-16,1.000078
10400,1.132130432912e-16,1.000079
10500,1.125700446583e-16,1.000080
10600,1.127721337925e-16,1.000081
10700,1.127623800061e-16,1.000082
10800,1.127999478151e-16,1.000083
10900,1.132103566450e-16,1.000084
11000,1.134276461003e-16,1.000085
11100,1.133464631514e-16,1.000087
11200,1.126921901054e-16,1.000088
11300,1.125209291242e-16,1.000089
11400,1.119166653833e-16,1.000090
11500,1.116667580005e-16,1.000091
11600,1.117439469032e-16,1.000092
11700,1.116643938516e-16,1.000093
11800,1.119645137573e-16,1.000094
11900,1.126699713166e-16,1.000095
12000,1.126190498858e-16,1.000096
12100,1.124089241516e-16,1.000097
12200,1.117861763499e-16,1.000098
12300,1.108796965439e-16,1.000099
12400,1.116910547031e-16,1.000100
12500,1.126299736233e-16,1.000101
12600,1.125554407967e-16,1.000102
12700,1.127117577247e-16,1.000103
12800,1.131921750090e-16,1.000105
12900,1.123931727933e-16,1.000106
13000,1.121228857403e-16,1.000107
13100,1.118181861700e-16,1.000108
13200,1.122464936351e-16,1.000109
13300,1.123218521074e-16,1.000110
13400,1.129409237618e-16,1.000111
13500,1.119923964524e-16,1.000112
13600,1.126612735064e-16,1.000113
13700,1.118701920693e-16,1.000114
13800,1.118823600648e-16,1.000115
