time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,1.509258235598e-20,1.000000
200,5.990834353203e-20,1.000000
300,1.500353393617e-19,1.000000
400,2.460481937708e-19,1.000000
500,2.929637359177e-19,1.000000
600,4.748079305926e-19,1.000000
700,7.310403948702e-19,1.000000
800,1.149990105754e-18,1.000000
900,1.357995389931e-18,1.000000
1000,1.779522290569e-18,1.000000
1100,2.376652561523e-18,1.000000
1200,2.902837813451e-18,1.000000
1300,3.608688285293e-18,1.000000
1400,4.148051637489e-18,1.000000
1500,4.998302840514e-18,1.000000
1600,6.181192991374e-18,1.000000
1700,7.319304571329e-18,1.000000
1800,8.947600679687e-18,1.000000
1900,1.027081876975e-17,1.000000
2000,1.198960543104e-17,1.000000
2100,1.355174862545e-17,1.000000
2200,1.538502103688e-17,1.000000
2300,1.758462461054e-17,1.000000
2400,1.958705735353e-17,1.000000
2500,2.199914980422e-17,1.000000
2600,2.498199802212e-17,1.000000
2700,2.793558278149e-17,1.000000
2800,3.113026318811e-17,1.000000
2900,3.435229020698e-17,1.000000
3000,3.770584155738e-17,1.000000
3100,4.126487803713e-17,1.000000
3200,4.458803985648e-17,1.000000
3300,4.901453984862e-17,1.000000
3400,5.330569421908e-17,1.000000
3500,5.726095902258e-17,1.000000
3600,6.168352507932e-17,1.000000
3700,6.653895839479e-17,1.000000
3800,7.240322021910e-17,1.000000
3900,7.733172286962e-17,1.000000
4000,8.310189251285e-17,1.000000
4100,8.952474371612e-17,1.000000
4200,9.612796108984e-17,1.000000
4300,1.029142880735e-16,1.000000
4400,1.102148150117e-16,1.000000
4500,1.174654285661e-16,1.000000
4600,1.245488561276e-16,1.000000
4700,1.319397132496e-16,1.000000
4800,1.400617649833e-16,1.000000
4900,1.481431929931e-16,1.000000
5000,1.560504409258e-16,1.000000
5100,1.645710994311e-16,1.000000
5200,1.742640317547e-16,1.000000
5300,1.841072404042e-16,1.000000
5400,1.935847050304e-16,1.000000
5500,2.040270468272e-16,1.000000
5600,2.144441259419e-16,1.000000
5700,2.249452658659e-16,1.000000
5800,2.350590329820e-16,1.000000
5900,2.463252465905e-16,1.000000
6000,2.576144262551e-16,1.000000
6100,2.696496923781e-16,1.000000
6200,2.816905209410e-16,1.000000
6300,2.954867047663e-16,1.000000
6400,3.085831957015e-16,1.000000
6500,3.217561442226e-16,1.000000
6600,3.352573979168e-16,1.000000
6700,3.504802212836e-16,1.000000
6800,3.652092321255e-16,1.000000
6900,3.801717171183e-16,1.000000
7000,3.952808186841e-16,1.000000
7100,4.115342608539e-16,1.000000
7200,4.271776938693e-16,1.000000
7300,4.434076015635e-16,1.000000
7400,4.607666148851e-16,1.000000
7500,4.783797902265e-16,1.000000
7600,4.965065808613e-16,1.000000
7700,5.139780259955e-16,1.000000
7800,5.328833670491e-16,1.000000
7900,5.516634297859e-16,1.000000
8000,5.708149595347e-16,1.000000
8100,5.913303049041e-16,1.000000
8200,6.123348113675e-16,1.000000
8300,6.338659697456e-16,1.000000
8400,6.564157598122e-16,1.000000
8500,6.782814297991e-16,1.000000
8600,6.993545992740e-16,1.000000
8700,7.220115276604e-16,1.000000
8800,7.455165654870e-16,1.000000
8900,7.678868861448e-16,1.000000
9000,7.927684681700e-16,1.000000
9100,8.161141000731e-16,1.000000
9200,8.410864248676e-16,1.000000
9300,8.664695507903e-16,1.000000
9400,8.916806655382e-16,1.000000
9500,9.176387583333e-16,1.000000
9600,9.443876720006e-16,1.000000
9700,9.719901516841e-16,1.000000
9800,9.994790845081e-16,1.000000
9900,1.027932430334e-15,1.000000
10000,1.057491882109e-15,1.000000
10100,1.085785453436e-15,1.000000
10200,1.114598244167e-15,1.000000
10300,1.145112506799e-15,1.000000
10400,1.175360426700e-15,1.000000
10500,1.207013811400e-15,1.000000
10600,1.239292887884e-15,1.000000
10700,1.272786058022e-15,1.000000
10800,1.305900754657e-15,1.000000
10900,1.339050914120e-15,1.000000
11000,1.373280976347e-15,1.000000
11100,1.408353715357e-15,1.000000
11200,1.443916151232e-15,1.000000
11300,1.478515310516e-15,1.000000
11400,1.513924735161e-15,1.000000
11500,1.550480694551e-15,1.000000
11600,1.587885355007e-15,1.000000
11700,1.626494058416e-15,1.000000
11800,1.664956835238e-15,1.000000
11900,1.705143006084e-15,1.000000
12000,1.745015859022e-15,1.000000
12100,1.784675785703e-15,1.000000
12200,1.825532818740e-15,1.000000
12300,1.865822764934e-15,1.000000
12400,1.908153934456e-15,1.000000
12500,1.950172064465e-15,1.000000
12600,1.992411150845e-15,1.000000
12700,2.035235251144e-15,1.000000
12800,2.078333568091e-15,1.000000
12900,2.121796472599e-15,1.000000
13000,2.165315796241e-15,1.000000
13100,2.211355391751e-15,1.000000
13200,2.256381142378e-15,1.000000
13300,2.304293372775e-15,1.000000
13400,2.351901472123e-15,1.000000
13500,2.400892817172e-15,1.000000
13600,2.450157522047e-15,1.000000
13700,2.499220409708e-15,1.000000
13800,2.550322446926e-15,1.000000
