time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,0.000000000000e0,1.000000
200,5.371241176163e-20,1.000000
300,1.523452448226e-19,1.000000
400,2.023807161293e-19,1.000000
500,4.094958521354e-19,1.000000
600,5.940591006159e-19,1.000000
700,8.189488876866e-19,1.000000
800,1.152906590617e-18,1.000000
900,1.375740345736e-18,1.000000
1000,1.709895567171e-18,1.000000
1100,2.397151165413e-18,1.000000
1200,3.189706836893e-18,1.000000
1300,4.043943893423e-18,1.000000
1400,4.844902023201e-18,1.000000
1500,5.898675735391e-18,1.000000
1600,7.050946085240e-18,1.000000
1700,8.271808577960e-18,1.000000
1800,9.461268646630e-18,1.000000
1900,1.091687332376e-17,1.000000
2000,1.268742757960e-17,1.000000
2100,1.461052236762e-17,1.000000
2200,1.653080561438e-17,1.000000
2300,1.863594227887e-17,1.000000
2400,2.091514777248e-17,1.000000
2500,2.338461681557e-17,1.000000
2600,2.567381991586e-17,1.000000
2700,2.851672555471e-17,1.000000
2800,3.136704127224e-17,1.000000
2900,3.435987911993e-17,1.000000
3000,3.787486505577e-17,1.000000
3100,4.178507999989e-17,1.000000
3200,4.558005413869e-17,1.000000
3300,4.957183858119e-17,1.000000
3400,5.416673840910e-17,1.000000
3500,5.881479714268e-17,1.000000
3600,6.305306215286e-17,1.000000
3700,6.793612567375e-17,1.000000
3800,7.310034645720e-17,1.000000
3900,7.830112320630e-17,1.000000
4000,8.376198370598e-17,1.000000
4100,8.989108235341e-17,1.000000
4200,9.649940204475e-17,1.000000
4300,1.027046273823e-16,1.000000
4400,1.091589523984e-16,1.000000
4500,1.162419264751e-16,1.000000
4600,1.234271809081e-16,1.000000
4700,1.305845748545e-16,1.000000
4800,1.385886412583e-16,1.000000
4900,1.466202768663e-16,1.000000
5000,1.550785329346e-16,1.000000
5100,1.630872889982e-16,1.000000
5200,1.718790871908e-16,1.000000
5300,1.817008854257e-16,1.000000
5400,1.909923603224e-16,1.000000
5500,2.014446963331e-16,1.000000
5600,2.116619234959e-16,1.000000
5700,2.209156952188e-16,1.000000
5800,2.322635432418e-16,1.000000
5900,2.430664055523e-16,1.000000
6000,2.555841702725e-16,1.000000
6100,2.678678072647e-16,1.000000
6200,2.803262985088e-16,1.000000
6300,2.928666809175e-16,1.000000
6400,3.058371012852e-16,1.000000
6500,3.193820084977e-16,1.000000
6600,3.335364943316e-16,1.000000
6700,3.478599491182e-16,1.000000
6800,3.620198939340e-16,1.000000
6900,3.768146812504e-16,1.000000
7000,3.919470234851e-16,1.000000
7100,4.083700092327e-16,1.000000
7200,4.236029243477e-16,1.000000
7300,4.398242297464e-16,1.000000
7400,4.575382809208e-16,1.000000
7500,4.752287058391e-16,1.000000
7600,4.932107010411e-16,1.000000
7700,5.111962257317e-16,1.000000
7800,5.300367250481e-16,1.000000
7900,5.475139832130e-16,1.000000
8000,5.670179390356e-16,1.000000
8100,5.873690189616e-16,1.000000
8200,6.069546460450e-16,1.000000
8300,6.273651910644e-16,1.000000
8400,6.476267725892e-16,1.000000
8500,6.700829918803e-16,1.000000
8600,6.920607387805e-16,1.000000
8700,7.149057835045e-16,1.000000
8800,7.373325521009e-16,1.000000
8900,7.602486272907e-16,1.000000
9000,7.842433203340e-16,1.000000
9100,8.089224244488e-16,1.000000
9200,8.339019245868e-16,1.000000
9300,8.599067504161e-16,1.000000
9400,8.857490842292e-16,1.000000
9500,9.113643029627e-16,1.000000
9600,9.395643382025e-16,1.000000
9700,9.657748829628e-16,1.000000
9800,9.928101998660e-16,1.000000
9900,1.021271709945e-15,1.000000
10000,1.050453644082e-15,1.000000
10100,1.079638954028e-15,1.000000
10200,1.111335895234e-15,1.000000
10300,1.142111597816e-15,1.000000
10400,1.172804969608e-15,1.000000
10500,1.204000676213e-15,1.000000
10600,1.235969113837e-15,1.000000
10700,1.267690382452e-15,1.000000
10800,1.301591544504e-15,1.000000
10900,1.336202960779e-15,1.000000
11000,1.369675048256e-15,1.000000
11100,1.404622158397e-15,1.000000
11200,1.440295366354e-15,1.000000
11300,1.476268685640e-15,1.000000
11400,1.512950669861e-15,1.000000
11500,1.549826578344e-15,1.000000
11600,1.586708277399e-15,1.000000
11700,1.624022816023e-15,1.000000
11800,1.663494896316e-15,1.000000
11900,1.701937090526e-15,1.000000
12000,1.741733673040e-15,1.000000
12100,1.782011367243e-15,1.000000
12200,1.822357402397e-15,1.000000
12300,1.863966574436e-15,1.000000
12400,1.905592752444e-15,1.000000
12500,1.948899386161e-15,1.000000
12600,1.991433856455e-15,1.000000
12700,2.035387717162e-15,1.000000
12800,2.077777935565e-15,1.000000
12900,2.120819473984e-15,1.000000
13000,2.164750604557e-15,1.000000
13100,2.209026579983e-15,1.000000
13200,2.256108913617e-15,1.000000
13300,2.301111916264e-15,1.000000
13400,2.348720599210e-15,1.000000
13500,2.396822790200e-15,1.000000
13600,2.446676113760e-15,1.000000
13700,2.496249917195e-15,1.000000
13800,2.546002673504e-15,1.000000
